Date,Type de jour TEMPO
2014-09-01,BLEU
2014-09-02,BLEU
2014-09-03,BLEU
2014-09-04,BLEU
2014-09-05,BLEU
2014-09-06,BLEU
2014-09-07,BLEU
2014-09-08,BLEU
2014-09-09,BLEU
2014-09-10,BLEU
2014-09-11,BLEU
2014-09-12,BLEU
2014-09-13,BLEU
2014-09-14,BLEU
2014-09-15,BLEU
2014-09-16,BLEU
2014-09-17,BLEU
2014-09-18,BLEU
2014-09-19,BLEU
2014-09-20,BLEU
2014-09-21,BLEU
2014-09-22,BLEU
2014-09-23,BLEU
2014-09-24,BLEU
2014-09-25,BLEU
2014-09-26,BLEU
2014-09-27,BLEU
2014-09-28,BLEU
2014-09-29,BLEU
2014-09-30,BLEU
2014-10-01,BLEU
2014-10-02,BLEU
2014-10-03,BLEU
2014-10-04,BLEU
2014-10-05,BLEU
2014-10-06,BLEU
2014-10-07,BLEU
2014-10-08,BLEU
2014-10-09,BLEU
2014-10-10,BLEU
2014-10-11,BLEU
2014-10-12,BLEU
2014-10-13,BLEU
2014-10-14,BLEU
2014-10-15,BLEU
2014-10-16,BLEU
2014-10-17,BLEU
2014-10-18,BLEU
2014-10-19,BLEU
2014-10-20,BLEU
2014-10-21,BLEU
2014-10-22,BLEU
2014-10-23,BLEU
2014-10-24,BLEU
2014-10-25,BLEU
2014-10-26,BLEU
2014-10-27,BLEU
2014-10-28,BLEU
2014-10-29,BLEU
2014-10-30,BLEU
2014-10-31,BLEU
2014-11-01,BLEU
2014-11-02,BLEU
2014-11-03,BLEU
2014-11-04,BLEU
2014-11-05,BLEU
2014-11-06,BLEU
2014-11-07,BLEU
2014-11-08,BLEU
2014-11-09,BLEU
2014-11-10,BLEU
2014-11-11,BLEU
2014-11-12,BLEU
2014-11-13,BLEU
2014-11-14,BLEU
2014-11-15,BLEU
2014-11-16,BLEU
2014-11-17,BLEU
2014-11-18,BLEU
2014-11-19,BLEU
2014-11-20,BLEU
2014-11-21,BLEU
2014-11-22,BLEU
2014-11-23,BLEU
2014-11-24,BLEU
2014-11-25,BLEU
2014-11-26,BLEU
2014-11-27,BLEU
2014-11-28,BLEU
2014-11-29,BLEU
2014-11-30,BLEU
2014-12-01,BLANC
2014-12-02,BLANC
2014-12-03,BLANC
2014-12-04,ROUGE
2014-12-05,BLANC
2014-12-06,BLANC
2014-12-07,BLEU
2014-12-08,BLANC
2014-12-09,BLANC
2014-12-10,BLANC
2014-12-11,BLANC
2014-12-12,BLEU
2014-12-13,BLEU
2014-12-14,BLEU
2014-12-15,BLANC
2014-12-16,BLANC
2014-12-17,BLANC
2014-12-18,BLEU
2014-12-19,BLEU
2014-12-20,BLEU
2014-12-21,BLEU
2014-12-22,BLEU
2014-12-23,BLEU
2014-12-24,BLEU
2014-12-25,BLEU
2014-12-26,BLANC
2014-12-27,BLEU
2014-12-28,BLEU
2014-12-29,ROUGE
