,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2013-01-01 00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013-01-01 00:30:00,68,12,20,25,57,69,142,54,142,81,58,32
2013-01-01 01:00:00,67,13,20,23,55,68,142,54,143,79,58,29
2013-01-01 01:30:00,65,13,20,24,57,67,146,53,144,78,56,29
2013-01-01 02:00:00,66,13,20,25,56,66,153,54,141,78,58,28
2013-01-01 02:30:00,67,12,19,24,57,68,146,53,141,78,59,29
2013-01-01 03:00:00,67,13,19,25,56,68,146,52,145,78,58,29
2013-01-01 03:30:00,67,11,19,24,56,68,148,54,143,76,59,29
2013-01-01 04:00:00,66,12,19,25,56,67,146,54,143,77,34,29
2013-01-01 04:30:00,67,12,19,25,56,67,143,54,145,77,35,29
2013-01-01 05:00:00,65,12,19,25,56,66,147,54,143,77,35,30
2013-01-01 05:30:00,66,12,18,24,54,67,147,54,145,77,36,29
2013-01-01 06:00:00,65,13,19,24,55,67,144,54,143,75,37,30
2013-01-01 06:30:00,66,13,18,24,55,67,146,53,146,76,34,30
2013-01-01 07:00:00,65,13,18,25,55,68,140,53,144,76,34,30
2013-01-01 07:30:00,64,14,18,25,55,66,141,54,143,74,32,30
2013-01-01 08:00:00,65,14,18,24,54,67,141,55,142,76,32,30
2013-01-01 08:30:00,65,13,18,24,54,67,142,54,142,75,32,30
2013-01-01 09:00:00,63,14,19,23,54,66,138,54,141,75,33,30
2013-01-01 09:30:00,62,13,18,25,54,64,141,52,143,77,31,30
2013-01-01 10:00:00,63,13,17,25,55,64,139,53,141,76,33,30
2013-01-01 10:30:00,62,13,19,23,56,65,135,53,140,76,34,29
2013-01-01 11:00:00,63,13,18,24,56,64,133,53,143,76,34,28
2013-01-01 11:30:00,63,13,19,24,56,66,136,53,143,76,33,28
2013-01-01 12:00:00,62,13,19,25,55,66,134,52,142,77,34,28
2013-01-01 12:30:00,64,13,19,24,56,66,133,50,142,75,36,29
2013-01-01 13:00:00,64,13,20,26,56,66,121,52,140,77,36,29
2013-01-01 13:30:00,64,13,20,24,55,67,125,53,140,77,36,29
2013-01-01 14:00:00,64,12,20,26,56,67,124,55,141,77,35,29
2013-01-01 14:30:00,65,13,21,25,56,67,123,55,138,77,36,29
2013-01-01 15:00:00,65,13,20,25,56,68,127,55,142,77,36,30
2013-01-01 15:30:00,66,13,19,26,56,68,133,54,139,76,35,30
2013-01-01 16:00:00,66,13,19,25,56,68,137,54,137,77,34,30
2013-01-01 16:30:00,65,12,19,25,56,67,140,54,132,77,35,31
2013-01-01 17:00:00,65,12,19,24,55,66,136,56,135,77,34,32
2013-01-01 17:30:00,65,13,18,24,56,65,133,54,135,77,36,30
2013-01-01 18:00:00,62,13,19,24,58,67,121,55,135,78,35,31
2013-01-01 18:30:00,64,13,20,25,56,67,116,56,135,78,37,31
2013-01-01 19:00:00,64,13,19,24,57,66,118,54,135,78,37,31
2013-01-01 19:30:00,64,13,19,25,57,67,122,54,136,77,37,31
2013-01-01 20:00:00,65,12,20,25,57,67,127,55,140,77,36,31
2013-01-01 20:30:00,65,13,19,25,57,68,128,54,141,78,36,31
2013-01-01 21:00:00,64,12,19,24,58,68,125,54,138,78,38,31
2013-01-01 21:30:00,66,12,19,24,57,67,125,52,136,77,37,34
2013-01-01 22:00:00,66,12,19,24,57,67,125,52,138,82,36,34
2013-01-01 22:30:00,66,12,19,24,55,67,125,54,140,82,37,35
2013-01-01 23:00:00,67,12,20,25,52,59,126,53,141,82,37,33
2013-01-01 23:30:00,66,12,19,23,54,67,127,55,139,80,37,35
2013-01-02 00:00:00,66,12,19,24,56,67,129,54,140,81,38,34
2013-01-02 00:30:00,66,12,20,24,55,68,126,55,139,80,37,34
2013-01-02 01:00:00,66,12,20,23,56,65,128,55,141,80,37,34
2013-01-02 01:30:00,66,12,20,25,55,67,129,55,140,78,38,34
2013-01-02 02:00:00,64,12,20,25,54,68,128,54,138,77,38,33
2013-01-02 02:30:00,66,13,19,24,55,65,126,54,137,79,38,34
2013-01-02 03:00:00,67,12,19,24,55,65,129,55,139,77,38,34
2013-01-02 03:30:00,64,12,18,24,54,66,127,54,138,78,37,34
2013-01-02 04:00:00,65,12,19,24,56,67,129,55,138,76,37,33
2013-01-02 04:30:00,68,12,19,24,55,66,128,55,137,76,37,35
2013-01-02 05:00:00,67,12,19,23,52,67,132,55,133,78,38,34
2013-01-02 05:30:00,68,12,18,24,55,65,126,55,135,77,37,35
2013-01-02 06:00:00,67,12,19,24,56,66,124,55,135,75,37,33
2013-01-02 06:30:00,65,12,19,24,55,65,127,53,131,76,35,35
2013-01-02 07:00:00,66,12,19,23,55,64,127,53,133,76,36,31
2013-01-02 07:30:00,66,12,19,24,54,64,126,53,129,75,31,32
2013-01-02 08:00:00,66,12,19,24,55,66,127,53,131,74,35,32
2013-01-02 08:30:00,67,12,18,24,55,65,125,52,132,75,35,33
2013-01-02 09:00:00,65,12,18,23,56,65,124,52,133,78,35,32
2013-01-02 09:30:00,67,13,18,23,57,55,122,51,131,80,35,33
2013-01-02 10:00:00,66,13,17,23,56,62,124,50,133,83,34,33
2013-01-02 10:30:00,67,13,17,24,56,64,123,52,129,83,36,32
2013-01-02 11:00:00,67,13,17,24,55,64,124,49,129,83,35,33
2013-01-02 11:30:00,67,13,17,22,50,65,121,51,134,82,35,33
2013-01-02 12:00:00,69,13,17,24,51,65,120,54,134,80,35,31
2013-01-02 12:30:00,69,13,17,24,50,66,125,50,130,76,36,34
2013-01-02 13:00:00,66,14,16,24,50,65,125,51,133,77,36,33
2013-01-02 13:30:00,70,13,16,23,51,63,127,54,135,77,35,34
2013-01-02 14:00:00,69,13,18,23,52,66,127,54,136,75,36,34
2013-01-02 14:30:00,69,13,16,23,52,68,128,53,136,77,36,35
2013-01-02 15:00:00,67,14,17,23,54,67,126,54,134,74,35,36
2013-01-02 15:30:00,69,13,17,21,52,68,127,54,133,76,35,35
2013-01-02 16:00:00,69,13,17,22,51,68,128,55,135,76,35,36
2013-01-02 16:30:00,69,13,18,22,51,69,126,55,137,74,36,35
2013-01-02 17:00:00,67,13,18,23,51,70,126,54,136,75,35,30
2013-01-02 17:30:00,66,13,18,23,52,69,125,56,136,74,36,35
2013-01-02 18:00:00,66,13,17,23,51,68,130,56,133,73,36,36
2013-01-02 18:30:00,68,14,18,23,51,66,126,55,134,72,36,30
2013-01-02 19:00:00,68,14,18,23,51,67,126,56,135,73,37,31
2013-01-02 19:30:00,70,14,19,24,53,68,129,56,137,72,35,31
