,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2013-01-01 00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013-01-01 00:30:00,12069,-,-,9085,9137,4499,-,8200,4993,2497,-,-
2013-01-01 01:00:00,11895,-,-,9022,9010,4500,-,8224,4962,2451,-,-
2013-01-01 01:30:00,12228,-,-,9397,9074,4499,-,8380,5069,1772,-,-
2013-01-01 02:00:00,12274,-,-,9456,9072,4497,-,8317,5076,1549,-,-
2013-01-01 02:30:00,12228,-,-,9382,9043,4495,-,8129,5059,1551,-,-
2013-01-01 03:00:00,12092,-,-,9255,9000,4495,-,7268,5017,1537,-,-
2013-01-01 03:30:00,11964,-,-,7698,8996,4494,-,7283,4994,1577,-,-
2013-01-01 04:00:00,11302,-,-,7532,8951,4496,-,7334,5020,1579,-,-
2013-01-01 04:30:00,11126,-,-,7446,8932,4498,-,7295,4208,1583,-,-
2013-01-01 05:00:00,11207,-,-,7522,8947,4495,-,7303,3375,1583,-,-
2013-01-01 05:30:00,11098,-,-,7658,9036,4495,-,7382,3071,1580,-,-
2013-01-01 06:00:00,11120,-,-,7676,9046,4494,-,6966,3077,1584,-,-
2013-01-01 06:30:00,11077,-,-,7632,9022,4491,-,6939,3078,1579,-,-
2013-01-01 07:00:00,11058,-,-,7613,9026,4491,-,6978,3078,1586,-,-
2013-01-01 07:30:00,10843,-,-,7416,8961,4489,-,6887,3078,1581,-,-
2013-01-01 08:00:00,10899,-,-,7626,8970,4488,-,6802,3076,1582,-,-
2013-01-01 08:30:00,10826,-,-,8267,8907,4489,-,6753,3046,1573,-,-
2013-01-01 09:00:00,10693,-,-,8458,8849,4485,-,6685,3248,1570,-,-
2013-01-01 09:30:00,10860,-,-,8563,8847,4486,-,7101,3644,1540,-,-
2013-01-01 10:00:00,10733,-,-,9246,8851,4484,-,7174,4081,1558,-,-
2013-01-01 10:30:00,10761,-,-,9334,8888,4487,-,7975,4105,1578,-,-
2013-01-01 11:00:00,11073,-,-,9534,8979,4490,-,8161,4266,1577,-,-
2013-01-01 11:30:00,11106,-,-,9560,8999,4490,-,8176,4412,1581,-,-
2013-01-01 12:00:00,10947,-,-,9488,8995,4493,-,8254,4583,2330,-,-
2013-01-01 12:30:00,10771,-,-,9330,8928,4494,-,8150,4726,2487,-,-
2013-01-01 13:00:00,10955,-,-,9551,8994,4498,-,8375,4841,2469,-,-
2013-01-01 13:30:00,11024,-,-,9633,8949,4496,-,8671,4935,2465,-,-
2013-01-01 14:00:00,11045,-,-,9724,8968,4497,-,8006,5217,2474,-,-
2013-01-01 14:30:00,11222,-,-,9795,9000,4498,-,8082,5419,2480,-,-
2013-01-01 15:00:00,11122,-,-,9666,8962,4496,-,8248,5633,2478,-,-
2013-01-01 15:30:00,11579,-,-,9886,8908,4496,-,8358,5644,2487,-,-
2013-01-01 16:00:00,11584,-,-,10141,8927,4499,-,8374,5644,2465,-,-
2013-01-01 16:30:00,11647,-,-,10193,8978,4499,-,8429,5648,2474,-,-
2013-01-01 17:00:00,11773,-,-,10364,9037,4500,-,8514,5649,2483,-,-
2013-01-01 17:30:00,12112,-,-,10464,9165,4498,-,8706,5673,2548,-,-
2013-01-01 18:00:00,12083,-,-,10503,9168,4496,-,8677,5618,2528,-,-
2013-01-01 18:30:00,12075,-,-,10535,9090,4493,-,9538,5641,2528,-,-
2013-01-01 19:00:00,12085,-,-,10618,9128,4493,-,9511,5642,2503,-,-
2013-01-01 19:30:00,12057,-,-,10631,9169,4489,-,9449,5641,2489,-,-
2013-01-01 20:00:00,12093,-,-,10607,9183,4491,-,9433,5635,2482,-,-
2013-01-01 20:30:00,12186,-,-,10607,9182,4486,-,9415,5620,2480,-,-
2013-01-01 21:00:00,12422,-,-,10531,9042,4488,-,9410,5624,2507,-,-
2013-01-01 21:30:00,12577,-,-,10536,9040,4486,-,9437,5591,2510,-,-
2013-01-01 22:00:00,12596,-,-,10498,8954,4485,-,9384,5569,2492,-,-
2013-01-01 22:30:00,12500,-,-,10389,8888,4489,-,9218,5568,2481,-,-
2013-01-01 23:00:00,12723,-,-,10522,9103,4491,-,9565,5594,2525,-,-
2013-01-01 23:30:00,12410,-,-,10375,8861,4488,-,9229,5543,2473,-,-
2013-01-02 00:00:00,12519,-,-,10425,8955,4491,-,9396,5564,2496,-,-
2013-01-02 00:30:00,12559,-,-,10200,8872,4493,-,9322,5555,2479,-,-
