,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2015-01-01 00:00:00,-6830.0,2368.0,3577.0,-7642.0,-7102.0,132.0,9925.0,-6354.0,896.0,1913.0,3472.0,4424.0
2015-01-01 00:30:00,-6938.0,2474.0,3509.0,-7908.0,-6939.0,126.0,9907.0,-6312.0,998.0,1488.0,3922.0,4318.0
2015-01-01 01:00:00,-6427.0,2545.0,3345.0,-7932.0,-6806.0,-9.0,9578.0,-6412.0,855.0,1476.0,4269.0,4059.0
2015-01-01 01:30:00,-6446.0,2555.0,3176.0,-7878.0,-6781.0,6.0,9286.0,-6543.0,885.0,1605.0,4555.0,3997.0
2015-01-01 02:00:00,-6385.0,2648.0,3363.0,-7870.0,-6667.0,-177.0,8998.0,-6432.0,855.0,1582.0,4480.0,4084.0
2015-01-01 02:30:00,-6028.0,2693.0,3331.0,-7864.0,-6667.0,-312.0,8958.0,-6563.0,964.0,1648.0,4659.0,3915.0
2015-01-01 03:00:00,-5650.0,2562.0,3098.0,-7911.0,-6595.0,-397.0,8784.0,-6682.0,824.0,1887.0,4708.0,3842.0
2015-01-01 03:30:00,-5881.0,2652.0,2909.0,-8001.0,-6730.0,-696.0,8674.0,-6778.0,664.0,2326.0,4569.0,3707.0
2015-01-01 04:00:00,-5998.0,2531.0,2851.0,-8078.0,-6440.0,-852.0,8652.0,-6964.0,658.0,2790.0,4680.0,3651.0
2015-01-01 04:30:00,-5209.0,2514.0,2785.0,-8150.0,-6287.0,-912.0,8687.0,-7051.0,520.0,2723.0,4615.0,3653.0
2015-01-01 05:00:00,-4930.0,2451.0,2721.0,-8112.0,-6323.0,-829.0,8670.0,-7106.0,438.0,2649.0,4547.0,3569.0
2015-01-01 05:30:00,-4863.0,2463.0,2741.0,-8023.0,-6522.0,-695.0,8802.0,-7042.0,549.0,2816.0,4546.0,3516.0
2015-01-01 06:00:00,-4835.0,2479.0,2644.0,-8044.0,-6607.0,-704.0,8822.0,-7024.0,575.0,2786.0,4492.0,3531.0
2015-01-01 06:30:00,-5401.0,2499.0,2698.0,-7974.0,-6488.0,-663.0,8774.0,-7055.0,641.0,2851.0,4472.0,3578.0
2015-01-01 07:00:00,-5476.0,2513.0,2687.0,-8032.0,-6457.0,-874.0,8749.0,-7047.0,703.0,2889.0,4568.0,3497.0
2015-01-01 07:30:00,-5329.0,2488.0,2689.0,-7984.0,-6213.0,-821.0,8912.0,-7035.0,758.0,3003.0,4570.0,3496.0
2015-01-01 08:00:00,-5322.0,2518.0,2559.0,-7962.0,-6179.0,-902.0,9034.0,-7068.0,825.0,2957.0,4563.0,3483.0
2015-01-01 08:30:00,-4918.0,2441.0,2484.0,-8029.0,-6216.0,-838.0,9081.0,-7013.0,930.0,3028.0,4539.0,3479.0
2015-01-01 09:00:00,-4736.0,2503.0,2397.0,-8027.0,-6235.0,-960.0,9024.0,-7042.0,870.0,3059.0,4613.0,3461.0
2015-01-01 09:30:00,-4542.0,2540.0,2361.0,-8108.0,-6246.0,-982.0,9140.0,-7118.0,750.0,3093.0,4574.0,3363.0
2015-01-01 10:00:00,-4448.0,2529.0,2356.0,-8078.0,-6249.0,-988.0,9323.0,-7102.0,703.0,2892.0,4415.0,3293.0
2015-01-01 10:30:00,-4550.0,2618.0,2364.0,-8095.0,-6641.0,-1095.0,9451.0,-7173.0,520.0,2794.0,4349.0,3185.0
2015-01-01 11:00:00,-4866.0,2618.0,2400.0,-8056.0,-6587.0,-848.0,9554.0,-7096.0,397.0,2695.0,4323.0,3217.0
2015-01-01 11:30:00,-5238.0,2639.0,2511.0,-8173.0,-6697.0,-916.0,9697.0,-7116.0,214.0,2616.0,4241.0,3148.0
2015-01-01 12:00:00,-5347.0,2703.0,2584.0,-8226.0,-6602.0,-750.0,9753.0,-7072.0,150.0,2652.0,4125.0,3216.0
2015-01-01 12:30:00,-5243.0,2791.0,2735.0,-8222.0,-6854.0,-654.0,9761.0,-6964.0,3.0,2651.0,3922.0,3265.0
2015-01-01 13:00:00,-6033.0,2742.0,2867.0,-8070.0,-6763.0,-544.0,9760.0,-6942.0,71.0,2679.0,3897.0,3301.0
2015-01-01 13:30:00,-5848.0,2665.0,2701.0,-8160.0,-6817.0,-420.0,9582.0,-7070.0,40.0,2071.0,4303.0,3089.0
2015-01-01 14:00:00,-5835.0,2573.0,2606.0,-8263.0,-6628.0,-542.0,9400.0,-7121.0,96.0,2155.0,4293.0,2986.0
2015-01-01 14:30:00,-5760.0,2548.0,2605.0,-8402.0,-6265.0,-813.0,9492.0,-7300.0,33.0,2008.0,4370.0,2775.0
2015-01-01 15:00:00,-5580.0,2523.0,2460.0,-8341.0,-6007.0,-837.0,9318.0,-7464.0,-142.0,2197.0,4319.0,2720.0
2015-01-01 15:30:00,-4812.0,2505.0,2367.0,-8419.0,-6254.0,-1005.0,9209.0,-7489.0,-365.0,2304.0,4329.0,2629.0
2015-01-01 16:00:00,-4666.0,2447.0,2346.0,-8435.0,-6233.0,-1050.0,9237.0,-7510.0,-369.0,2270.0,4337.0,2697.0
2015-01-01 16:30:00,-4680.0,2483.0,2372.0,-8507.0,-6433.0,-1246.0,9268.0,-7447.0,-335.0,2298.0,4352.0,2647.0
2015-01-01 17:00:00,-4972.0,2537.0,2386.0,-8413.0,-6493.0,-1189.0,9506.0,-7352.0,-283.0,1898.0,4451.0,2755.0
2015-01-01 17:30:00,-6386.0,2689.0,2421.0,-8276.0,-6701.0,-1039.0,10108.0,-7241.0,-129.0,1344.0,4587.0,2863.0
2015-01-01 18:00:00,-7874.0,2801.0,2609.0,-8152.0,-7066.0,-923.0,10340.0,-7070.0,86.0,1314.0,4881.0,3170.0
2015-01-01 18:30:00,-7870.0,2805.0,2600.0,-8177.0,-7146.0,-862.0,10551.0,-6963.0,33.0,1533.0,4642.0,3267.0
2015-01-01 19:00:00,-7992.0,2858.0,2663.0,-8135.0,-7129.0,-903.0,10636.0,-6963.0,217.0,1062.0,4719.0,3239.0
2015-01-01 19:30:00,-8107.0,2833.0,2670.0,-8098.0,-7070.0,-955.0,10792.0,-6964.0,215.0,1136.0,4784.0,3257.0
2015-01-01 20:00:00,-7891.0,2776.0,2614.0,-8129.0,-7083.0,-996.0,10765.0,-7073.0,217.0,1288.0,4783.0,3222.0
2015-01-01 20:30:00,-7688.0,2770.0,2469.0,-8204.0,-7186.0,-1097.0,10613.0,-7122.0,393.0,1345.0,4749.0,3137.0
2015-01-01 21:00:00,-7184.0,2830.0,2272.0,-8187.0,-7287.0,-1217.0,10412.0,-7162.0,323.0,1382.0,4496.0,3042.0
2015-01-01 21:30:00,-6492.0,2859.0,2169.0,-8266.0,-7412.0,-1225.0,10088.0,-7070.0,327.0,1277.0,4292.0,2860.0
2015-01-01 22:00:00,-6468.0,2775.0,2126.0,-8303.0,-7383.0,-1248.0,9844.0,-7057.0,324.0,1658.0,4211.0,2893.0
2015-01-01 22:30:00,-6243.0,2740.0,2153.0,-8310.0,-7357.0,-1316.0,10077.0,-6896.0,427.0,1455.0,3948.0,2955.0
2015-01-01 23:00:00,-7042.0,2738.0,2404.0,-8330.0,-7763.0,-1397.0,10590.0,-6821.0,501.0,1299.0,3898.0,3530.0
2015-01-01 23:30:00,-5528.0,2615.0,2282.0,-8480.0,-7478.0,-1312.0,10315.0,-6977.0,402.0,2309.0,4541.0,3335.0
2015-01-02 00:00:00,-5900.0,2571.0,2586.0,-8296.0,-7467.0,-1095.0,9990.0,-6966.0,389.0,2610.0,4483.0,3333.0
2015-01-02 00:30:00,-6292.0,2466.0,2437.0,-8404.0,-7326.0,-1205.0,9768.0,-7274.0,603.0,2702.0,4749.0,3215.0
2015-01-02 01:00:00,-5785.0,2433.0,2291.0,-8509.0,-6877.0,-1342.0,9319.0,-7411.0,685.0,2679.0,4850.0,3060.0
2015-01-02 01:30:00,-5711.0,2488.0,2162.0,-8419.0,-6922.0,-1315.0,8888.0,-7416.0,964.0,2664.0,5045.0,3043.0
2015-01-02 02:00:00,-5610.0,2532.0,2324.0,-8488.0,-6898.0,-1400.0,8613.0,-7259.0,852.0,2674.0,4935.0,3117.0
2015-01-02 02:30:00,-5131.0,2601.0,2317.0,-8458.0,-7035.0,-1566.0,8589.0,-7476.0,899.0,2606.0,5204.0,2891.0
2015-01-02 03:00:00,-4165.0,2500.0,2114.0,-8445.0,-7154.0,-1605.0,8294.0,-7533.0,723.0,2976.0,4894.0,2795.0
2015-01-02 03:30:00,-3225.0,2544.0,2062.0,-8375.0,-7479.0,-1746.0,8181.0,-7609.0,461.0,3207.0,4849.0,2759.0
2015-01-02 04:00:00,-2976.0,2503.0,2021.0,-8428.0,-7653.0,-1527.0,8002.0,-7635.0,366.0,3265.0,4690.0,2729.0
2015-01-02 04:30:00,-3022.0,2479.0,2043.0,-8491.0,-7940.0,-1322.0,8032.0,-7688.0,452.0,3214.0,4678.0,2700.0
2015-01-02 05:00:00,-3005.0,2473.0,2060.0,-8481.0,-8097.0,-1260.0,8028.0,-7669.0,490.0,3117.0,4687.0,2718.0
2015-01-02 05:30:00,-2762.0,2483.0,2123.0,-8481.0,-8175.0,-1103.0,8266.0,-7616.0,552.0,3193.0,4899.0,2859.0
2015-01-02 06:00:00,-2945.0,2504.0,2156.0,-8500.0,-8393.0,-1120.0,8532.0,-7626.0,543.0,3122.0,4933.0,2902.0
2015-01-02 06:30:00,-3359.0,2645.0,2352.0,-8407.0,-8699.0,-913.0,8827.0,-7556.0,726.0,3245.0,4950.0,2984.0
2015-01-02 07:00:00,-4086.0,2680.0,2374.0,-8425.0,-8706.0,-838.0,9108.0,-7521.0,869.0,3251.0,4944.0,3116.0
2015-01-02 07:30:00,-4818.0,2715.0,2500.0,-7979.0,-8912.0,-1112.0,9464.0,-7413.0,850.0,2841.0,4928.0,3114.0
2015-01-02 08:00:00,-5425.0,2741.0,2540.0,-7438.0,-8852.0,-1157.0,9801.0,-7304.0,1113.0,2490.0,4797.0,3142.0
2015-01-02 08:30:00,-6449.0,2713.0,2667.0,-7529.0,-9381.0,-1071.0,10020.0,-7198.0,840.0,1939.0,4407.0,3197.0
2015-01-02 09:00:00,-6600.0,2694.0,2699.0,-7477.0,-9378.0,-935.0,10204.0,-7179.0,803.0,1828.0,4347.0,3215.0
2015-01-02 09:30:00,-6470.0,2730.0,2651.0,-7399.0,-9171.0,-714.0,10417.0,-7271.0,737.0,1405.0,3887.0,3279.0
2015-01-02 10:00:00,-6646.0,2793.0,2623.0,-7373.0,-9157.0,-601.0,10581.0,-7200.0,774.0,1222.0,3758.0,3305.0
2015-01-02 10:30:00,-6977.0,2776.0,2649.0,-7286.0,-9247.0,-622.0,10901.0,-7123.0,724.0,916.0,3723.0,3327.0
2015-01-02 11:00:00,-7348.0,2930.0,2668.0,-7257.0,-9136.0,-356.0,10980.0,-7113.0,611.0,900.0,3629.0,3363.0
2015-01-02 11:30:00,-7595.0,2912.0,2728.0,-7319.0,-9034.0,-395.0,11152.0,-7141.0,596.0,829.0,3505.0,3281.0
2015-01-02 12:00:00,-7690.0,2987.0,2739.0,-7262.0,-8946.0,-309.0,11213.0,-7059.0,519.0,706.0,3260.0,3384.0
2015-01-02 12:30:00,-7234.0,3084.0,2845.0,-7156.0,-9185.0,-256.0,11318.0,-6969.0,542.0,247.0,3217.0,3570.0
2015-01-02 13:00:00,-7534.0,3049.0,2926.0,-7091.0,-9042.0,-146.0,11157.0,-7006.0,683.0,540.0,3011.0,3572.0
2015-01-02 13:30:00,-6997.0,2932.0,2765.0,-7189.0,-8935.0,-124.0,10940.0,-7158.0,620.0,689.0,3062.0,3452.0
2015-01-02 14:00:00,-7152.0,2929.0,2744.0,-7108.0,-8457.0,-233.0,10720.0,-7264.0,568.0,1035.0,3056.0,3310.0
2015-01-02 14:30:00,-7369.0,2979.0,2786.0,-7142.0,-8439.0,-276.0,10731.0,-7383.0,590.0,613.0,3499.0,3158.0
2015-01-02 15:00:00,-6849.0,2943.0,2700.0,-7016.0,-8007.0,-473.0,10527.0,-7507.0,437.0,677.0,3435.0,2999.0
2015-01-02 15:30:00,-6964.0,2880.0,2614.0,-7185.0,-7916.0,-656.0,10349.0,-7499.0,431.0,1007.0,3478.0,2907.0
2015-01-02 16:00:00,-7124.0,2840.0,2532.0,-7210.0,-7923.0,-582.0,10260.0,-7393.0,424.0,1104.0,3393.0,2975.0
2015-01-02 16:30:00,-7008.0,2662.0,2540.0,-7468.0,-8159.0,-487.0,10276.0,-7276.0,327.0,1256.0,3452.0,2974.0
2015-01-02 17:00:00,-7194.0,2739.0,2584.0,-7619.0,-8248.0,-338.0,10356.0,-7262.0,167.0,1272.0,3523.0,2970.0
2015-01-02 17:30:00,-7312.0,2861.0,2705.0,-7424.0,-8452.0,53.0,10827.0,-7123.0,112.0,925.0,3595.0,3027.0
2015-01-02 18:00:00,-7275.0,2905.0,3019.0,-7397.0,-9065.0,191.0,11213.0,-6853.0,423.0,265.0,3587.0,3362.0
2015-01-02 18:30:00,-7181.0,2982.0,3153.0,-7764.0,-9080.0,333.0,11321.0,-6787.0,610.0,269.0,3477.0,3511.0
2015-01-02 19:00:00,-7948.0,3052.0,3297.0,-7746.0,-9059.0,425.0,11504.0,-6695.0,559.0,314.0,3576.0,3537.0
2015-01-02 19:30:00,-7906.0,3012.0,3223.0,-7807.0,-8948.0,377.0,11500.0,-6689.0,532.0,610.0,3534.0,3542.0
2015-01-02 20:00:00,-7428.0,2899.0,3157.0,-7908.0,-8870.0,280.0,11382.0,-6753.0,543.0,602.0,3478.0,3466.0
2015-01-02 20:30:00,-6588.0,2918.0,3062.0,-7953.0,-9121.0,157.0,11018.0,-6863.0,315.0,359.0,3365.0,3303.0
2015-01-02 21:00:00,-6262.0,2911.0,2961.0,-7934.0,-9069.0,-45.0,10694.0,-6901.0,309.0,442.0,3413.0,3167.0
2015-01-02 21:30:00,-6204.0,3033.0,2732.0,-7956.0,-9016.0,-118.0,10311.0,-6788.0,171.0,506.0,3404.0,3019.0
2015-01-02 22:00:00,-6145.0,2922.0,2670.0,-8072.0,-8533.0,-110.0,10043.0,-6862.0,70.0,767.0,3520.0,2928.0
2015-01-02 22:30:00,-6143.0,2851.0,2636.0,-8128.0,-8460.0,-178.0,10179.0,-6716.0,208.0,716.0,3602.0,3012.0
2015-01-02 23:00:00,-6528.0,2733.0,2898.0,-8117.0,-9023.0,-174.0,10746.0,-6523.0,431.0,816.0,3371.0,3552.0
2015-01-02 23:30:00,-5733.0,2576.0,2734.0,-8163.0,-8891.0,-67.0,10501.0,-6660.0,154.0,769.0,4011.0,3385.0
2015-01-03 00:00:00,-5983.0,2521.0,2987.0,-8046.0,-8921.0,163.0,10235.0,-6612.0,281.0,1351.0,3717.0,3386.0
2015-01-03 00:30:00,-5816.0,2369.0,2866.0,-8168.0,-8378.0,169.0,10014.0,-6683.0,182.0,1592.0,3734.0,3245.0
2015-01-03 01:00:00,-5639.0,2392.0,2627.0,-8227.0,-8058.0,34.0,9544.0,-6849.0,11.0,1926.0,4202.0,3055.0
2015-01-03 01:30:00,-5785.0,2435.0,2541.0,-8186.0,-8099.0,139.0,9176.0,-6895.0,274.0,1895.0,4530.0,2963.0
2015-01-03 02:00:00,-5605.0,2442.0,2659.0,-8333.0,-7950.0,24.0,8770.0,-6864.0,200.0,1970.0,4430.0,3166.0
2015-01-03 02:30:00,-5417.0,2510.0,2693.0,-8376.0,-7930.0,-218.0,8756.0,-7060.0,265.0,1978.0,4650.0,2900.0
2015-01-03 03:00:00,-5411.0,2407.0,2503.0,-8332.0,-7661.0,-351.0,8471.0,-7112.0,-37.0,2577.0,4421.0,2715.0
2015-01-03 03:30:00,-4648.0,2451.0,2299.0,-8341.0,-6943.0,-511.0,8302.0,-7258.0,-262.0,2515.0,4226.0,2701.0
2015-01-03 04:00:00,-3969.0,2380.0,2200.0,-8422.0,-7132.0,-629.0,8226.0,-7197.0,-379.0,2581.0,4126.0,2647.0
2015-01-03 04:30:00,-3459.0,2331.0,2152.0,-8531.0,-7401.0,-921.0,8175.0,-6681.0,-560.0,2334.0,4121.0,2538.0
2015-01-03 05:00:00,-3387.0,2311.0,2094.0,-8513.0,-7364.0,-872.0,8116.0,-6679.0,-584.0,2345.0,4087.0,2519.0
2015-01-03 05:30:00,-3609.0,2339.0,2096.0,-8511.0,-7386.0,-935.0,8250.0,-6694.0,-606.0,2414.0,4126.0,2539.0
2015-01-03 06:00:00,-3840.0,2303.0,2110.0,-8492.0,-7523.0,-832.0,8341.0,-6676.0,-570.0,2468.0,4137.0,2500.0
2015-01-03 06:30:00,-4077.0,2352.0,2171.0,-8485.0,-7947.0,-716.0,8413.0,-6630.0,-490.0,2532.0,4124.0,2509.0
2015-01-03 07:00:00,-3982.0,2378.0,2176.0,-8427.0,-7833.0,-471.0,8481.0,-7266.0,-411.0,2674.0,4174.0,2356.0
