,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2015-01-01 00:00:00,193.0,97.0,104.0,76.0,1179.0,848.0,860.0,391.0,122.0,66.0,1903.0,396.0
2015-01-01 00:30:00,201.0,104.0,102.0,77.0,964.0,797.0,708.0,365.0,115.0,66.0,1099.0,500.0
2015-01-01 01:00:00,202.0,104.0,101.0,77.0,731.0,796.0,695.0,365.0,115.0,66.0,641.0,582.0
2015-01-01 01:30:00,204.0,104.0,101.0,77.0,636.0,839.0,761.0,365.0,113.0,66.0,413.0,671.0
2015-01-01 02:00:00,204.0,104.0,101.0,77.0,608.0,819.0,735.0,365.0,115.0,66.0,426.0,631.0
2015-01-01 02:30:00,204.0,106.0,102.0,77.0,612.0,816.0,725.0,364.0,115.0,66.0,429.0,622.0
2015-01-01 03:00:00,204.0,104.0,102.0,77.0,585.0,772.0,655.0,363.0,115.0,66.0,249.0,576.0
2015-01-01 03:30:00,205.0,109.0,101.0,77.0,603.0,779.0,562.0,365.0,115.0,66.0,250.0,601.0
2015-01-01 04:00:00,206.0,104.0,100.0,77.0,509.0,726.0,428.0,365.0,115.0,65.0,252.0,472.0
2015-01-01 04:30:00,206.0,103.0,100.0,77.0,523.0,728.0,351.0,365.0,110.0,66.0,258.0,490.0
2015-01-01 05:00:00,206.0,102.0,101.0,77.0,521.0,729.0,326.0,365.0,111.0,66.0,257.0,490.0
2015-01-01 05:30:00,205.0,102.0,101.0,76.0,556.0,746.0,327.0,364.0,109.0,66.0,256.0,489.0
2015-01-01 06:00:00,206.0,104.0,101.0,76.0,655.0,795.0,328.0,364.0,109.0,66.0,257.0,490.0
2015-01-01 06:30:00,205.0,104.0,101.0,77.0,667.0,818.0,329.0,363.0,109.0,66.0,258.0,550.0
2015-01-01 07:00:00,206.0,104.0,101.0,77.0,668.0,778.0,329.0,363.0,109.0,66.0,258.0,647.0
2015-01-01 07:30:00,200.0,104.0,102.0,76.0,632.0,792.0,328.0,365.0,109.0,66.0,257.0,643.0
2015-01-01 08:00:00,198.0,103.0,102.0,77.0,624.0,806.0,329.0,365.0,110.0,66.0,258.0,637.0
2015-01-01 08:30:00,199.0,103.0,102.0,77.0,590.0,790.0,328.0,365.0,110.0,66.0,259.0,588.0
2015-01-01 09:00:00,199.0,102.0,102.0,76.0,583.0,786.0,328.0,365.0,110.0,66.0,259.0,573.0
2015-01-01 09:30:00,199.0,103.0,102.0,77.0,599.0,804.0,329.0,365.0,111.0,66.0,259.0,598.0
2015-01-01 10:00:00,199.0,102.0,102.0,77.0,611.0,797.0,329.0,364.0,111.0,66.0,259.0,604.0
2015-01-01 10:30:00,199.0,103.0,102.0,76.0,637.0,830.0,329.0,363.0,111.0,66.0,259.0,661.0
2015-01-01 11:00:00,202.0,103.0,102.0,75.0,617.0,805.0,329.0,364.0,109.0,66.0,258.0,620.0
2015-01-01 11:30:00,202.0,103.0,102.0,75.0,635.0,806.0,326.0,366.0,105.0,65.0,258.0,651.0
2015-01-01 12:00:00,203.0,103.0,102.0,77.0,602.0,795.0,326.0,365.0,104.0,65.0,257.0,600.0
2015-01-01 12:30:00,203.0,103.0,102.0,76.0,601.0,797.0,325.0,365.0,105.0,65.0,259.0,601.0
2015-01-01 13:00:00,203.0,103.0,102.0,77.0,615.0,812.0,325.0,365.0,107.0,66.0,259.0,626.0
2015-01-01 13:30:00,199.0,103.0,102.0,77.0,585.0,791.0,325.0,366.0,106.0,65.0,258.0,589.0
2015-01-01 14:00:00,200.0,102.0,102.0,77.0,577.0,776.0,325.0,366.0,105.0,65.0,259.0,568.0
2015-01-01 14:30:00,202.0,103.0,102.0,77.0,612.0,801.0,325.0,366.0,103.0,65.0,260.0,623.0
2015-01-01 15:00:00,203.0,103.0,102.0,77.0,587.0,777.0,320.0,365.0,102.0,65.0,259.0,572.0
2015-01-01 15:30:00,203.0,103.0,102.0,77.0,615.0,802.0,322.0,365.0,102.0,65.0,260.0,626.0
2015-01-01 16:00:00,202.0,102.0,102.0,77.0,615.0,774.0,322.0,366.0,101.0,65.0,260.0,622.0
2015-01-01 16:30:00,203.0,102.0,102.0,77.0,660.0,813.0,322.0,365.0,101.0,65.0,259.0,683.0
2015-01-01 17:00:00,203.0,100.0,101.0,77.0,636.0,790.0,322.0,365.0,101.0,65.0,258.0,642.0
2015-01-01 17:30:00,202.0,102.0,102.0,77.0,667.0,836.0,321.0,365.0,101.0,66.0,258.0,700.0
2015-01-01 18:00:00,203.0,102.0,102.0,76.0,654.0,825.0,325.0,366.0,103.0,66.0,257.0,676.0
2015-01-01 18:30:00,203.0,106.0,102.0,79.0,642.0,818.0,327.0,365.0,105.0,65.0,258.0,691.0
2015-01-01 19:00:00,202.0,105.0,102.0,78.0,675.0,858.0,327.0,363.0,109.0,66.0,259.0,719.0
2015-01-01 19:30:00,203.0,106.0,102.0,77.0,660.0,858.0,327.0,363.0,112.0,65.0,254.0,723.0
2015-01-01 20:00:00,203.0,106.0,109.0,77.0,646.0,855.0,325.0,365.0,112.0,65.0,250.0,721.0
2015-01-01 20:30:00,202.0,105.0,109.0,77.0,646.0,836.0,327.0,365.0,112.0,65.0,300.0,721.0
2015-01-01 21:00:00,202.0,104.0,109.0,77.0,642.0,780.0,326.0,366.0,113.0,66.0,344.0,720.0
2015-01-01 21:30:00,201.0,103.0,109.0,77.0,651.0,798.0,326.0,365.0,110.0,66.0,503.0,715.0
2015-01-01 22:00:00,201.0,100.0,109.0,77.0,713.0,799.0,326.0,365.0,114.0,66.0,515.0,624.0
2015-01-01 22:30:00,202.0,102.0,109.0,75.0,717.0,757.0,326.0,365.0,111.0,66.0,688.0,608.0
2015-01-01 23:00:00,201.0,106.0,109.0,77.0,715.0,788.0,326.0,363.0,111.0,66.0,683.0,624.0
2015-01-01 23:30:00,202.0,106.0,109.0,77.0,527.0,752.0,326.0,365.0,110.0,66.0,681.0,573.0
2015-01-02 00:00:00,201.0,106.0,109.0,77.0,501.0,780.0,326.0,366.0,110.0,66.0,680.0,585.0
2015-01-02 00:30:00,205.0,106.0,101.0,77.0,513.0,793.0,324.0,366.0,112.0,66.0,509.0,648.0
2015-01-02 01:00:00,205.0,105.0,101.0,77.0,581.0,781.0,324.0,366.0,111.0,66.0,436.0,579.0
2015-01-02 01:30:00,205.0,105.0,101.0,78.0,595.0,778.0,324.0,365.0,112.0,62.0,252.0,584.0
2015-01-02 02:00:00,205.0,106.0,101.0,77.0,594.0,777.0,324.0,364.0,112.0,61.0,253.0,583.0
