,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2016-01-01 00:00:00,11523.0,-,-,11237.0,10941.0,5223.0,-,6452.0,6532.0,2476.0,-,-
2016-01-01 00:30:00,11542.0,-,-,11260.0,10892.0,5165.0,-,6452.0,6554.0,2486.0,-,-
2016-01-01 01:00:00,11472.0,-,-,11144.0,10783.0,5020.0,-,6418.0,6449.0,2418.0,-,-
2016-01-01 01:30:00,11541.0,-,-,11255.0,10879.0,5159.0,-,6410.0,6350.0,2486.0,-,-
2016-01-01 02:00:00,11479.0,-,-,11238.0,10864.0,5138.0,-,6417.0,6249.0,2489.0,-,-
2016-01-01 02:30:00,11547.0,-,-,11314.0,10904.0,5223.0,-,6409.0,6298.0,2480.0,-,-
2016-01-01 03:00:00,11428.0,-,-,11224.0,10860.0,5142.0,-,6409.0,6251.0,2486.0,-,-
2016-01-01 03:30:00,11014.0,-,-,11423.0,10327.0,5279.0,-,6410.0,6348.0,1730.0,-,-
2016-01-01 04:00:00,10985.0,-,-,11367.0,9885.0,5247.0,-,6420.0,6285.0,1632.0,-,-
2016-01-01 04:30:00,11024.0,-,-,11505.0,9643.0,5360.0,-,6446.0,6396.0,1699.0,-,-
2016-01-01 05:00:00,10947.0,-,-,11419.0,9420.0,5294.0,-,6450.0,6326.0,1652.0,-,-
2016-01-01 05:30:00,10985.0,-,-,11469.0,9454.0,5324.0,-,6455.0,6358.0,1627.0,-,-
2016-01-01 06:00:00,11009.0,-,-,11386.0,9431.0,5251.0,-,6453.0,6336.0,2205.0,-,-
2016-01-01 06:30:00,11049.0,-,-,11486.0,9488.0,5339.0,-,6450.0,6395.0,2205.0,-,-
2016-01-01 07:00:00,11031.0,-,-,11440.0,9458.0,5293.0,-,6453.0,6365.0,2204.0,-,-
2016-01-01 07:30:00,10973.0,-,-,11321.0,9358.0,5147.0,-,6449.0,6263.0,2203.0,-,-
2016-01-01 08:00:00,10916.0,-,-,11441.0,9449.0,5311.0,-,6442.0,6358.0,2192.0,-,-
2016-01-01 08:30:00,10597.0,-,-,11167.0,9296.0,5069.0,-,6449.0,6200.0,1639.0,-,-
2016-01-01 09:00:00,10630.0,-,-,11207.0,9318.0,5093.0,-,6448.0,6220.0,1644.0,-,-
2016-01-01 09:30:00,10948.0,-,-,11338.0,10267.0,5214.0,-,6452.0,6298.0,1638.0,-,-
2016-01-01 10:00:00,10913.0,-,-,11277.0,10744.0,5163.0,-,6447.0,6260.0,1632.0,-,-
2016-01-01 10:30:00,10954.0,-,-,11338.0,10965.0,5207.0,-,6441.0,6306.0,1646.0,-,-
2016-01-01 11:00:00,10917.0,-,-,11279.0,10930.0,5162.0,-,6453.0,6272.0,2460.0,-,-
2016-01-01 11:30:00,10918.0,-,-,11277.0,10913.0,5170.0,-,6449.0,6267.0,2501.0,-,-
2016-01-01 12:00:00,10959.0,-,-,11342.0,10943.0,5268.0,-,6444.0,6310.0,2498.0,-,-
2016-01-01 12:30:00,10941.0,-,-,11307.0,10919.0,5252.0,-,6419.0,6286.0,2497.0,-,-
2016-01-01 13:00:00,10879.0,-,-,11210.0,10874.0,5192.0,-,6417.0,6228.0,2493.0,-,-
2016-01-01 13:30:00,10939.0,-,-,11165.0,10842.0,5174.0,-,6410.0,6200.0,2484.0,-,-
2016-01-01 14:00:00,10912.0,-,-,11092.0,10809.0,5132.0,-,6442.0,6144.0,2485.0,-,-
2016-01-01 14:30:00,10863.0,-,-,11190.0,10869.0,5107.0,-,6440.0,6208.0,2490.0,-,-
2016-01-01 15:00:00,10699.0,-,-,11115.0,10836.0,5054.0,-,6443.0,6117.0,2493.0,-,-
2016-01-01 15:30:00,10928.0,-,-,11351.0,10940.0,5262.0,-,6434.0,6269.0,2489.0,-,-
2016-01-01 16:00:00,10992.0,-,-,11379.0,10971.0,5296.0,-,6426.0,6310.0,2524.0,-,-
2016-01-01 16:30:00,10825.0,-,-,11183.0,10878.0,5209.0,-,6421.0,6174.0,2444.0,-,-
2016-01-01 17:00:00,10852.0,-,-,11300.0,10924.0,5243.0,-,6440.0,6231.0,2456.0,-,-
2016-01-01 17:30:00,10803.0,-,-,11244.0,10860.0,5193.0,-,6423.0,6190.0,2430.0,-,-
2016-01-01 18:00:00,10918.0,-,-,11521.0,10947.0,5328.0,-,6420.0,6354.0,2473.0,-,-
2016-01-01 18:30:00,10881.0,-,-,11542.0,10936.0,5327.0,-,6443.0,6342.0,2473.0,-,-
2016-01-01 19:00:00,10999.0,-,-,11546.0,10959.0,5336.0,-,6445.0,6360.0,2471.0,-,-
2016-01-01 19:30:00,11078.0,-,-,11550.0,10934.0,5323.0,-,6446.0,6350.0,2477.0,-,-
2016-01-01 20:00:00,11215.0,-,-,11549.0,10951.0,5337.0,-,6431.0,6359.0,2474.0,-,-
2016-01-01 20:30:00,11101.0,-,-,11449.0,10879.0,5291.0,-,6413.0,6293.0,2463.0,-,-
2016-01-01 21:00:00,11057.0,-,-,11281.0,10832.0,5268.0,-,6410.0,6126.0,2459.0,-,-
2016-01-01 21:30:00,11313.0,-,-,11365.0,10926.0,5313.0,-,6422.0,6315.0,2469.0,-,-
2016-01-01 22:00:00,11180.0,-,-,11185.0,10857.0,5208.0,-,6088.0,6199.0,2469.0,-,-
2016-01-01 22:30:00,10974.0,-,-,11126.0,10834.0,5167.0,-,5099.0,6163.0,2475.0,-,-
2016-01-01 23:00:00,10995.0,-,-,11167.0,10861.0,5194.0,-,5096.0,6190.0,2470.0,-,-
2016-01-01 23:30:00,10982.0,-,-,11082.0,10785.0,5147.0,-,5096.0,6144.0,2476.0,-,-
2016-01-02 00:00:00,11007.0,-,-,11115.0,10791.0,5086.0,-,5103.0,6164.0,2462.0,-,-
2016-01-02 00:30:00,11045.0,-,-,11153.0,10920.0,5088.0,-,5059.0,6198.0,2444.0,-,-
2016-01-02 01:00:00,10950.0,-,-,11119.0,10915.0,5063.0,-,5036.0,6183.0,1668.0,-,-
2016-01-02 01:30:00,10906.0,-,-,11042.0,10517.0,4993.0,-,5019.0,6127.0,1610.0,-,-
2016-01-02 02:00:00,10939.0,-,-,11191.0,10049.0,5189.0,-,5026.0,5917.0,1672.0,-,-
2016-01-02 02:30:00,10312.0,-,-,11323.0,10072.0,5256.0,-,5019.0,5920.0,1714.0,-,-
2016-01-02 03:00:00,10279.0,-,-,11030.0,9282.0,5101.0,-,5054.0,5737.0,1594.0,-,-
2016-01-02 03:30:00,10367.0,-,-,11071.0,9036.0,5130.0,-,5058.0,5774.0,1625.0,-,-
2016-01-02 04:00:00,10355.0,-,-,11008.0,9006.0,4855.0,-,5057.0,5735.0,1608.0,-,-
2016-01-02 04:30:00,10434.0,-,-,11142.0,9045.0,4642.0,-,5067.0,5482.0,1659.0,-,-
2016-01-02 05:00:00,10436.0,-,-,11094.0,9027.0,4515.0,-,5070.0,5448.0,1640.0,-,-
2016-01-02 05:30:00,10465.0,-,-,11142.0,9069.0,4555.0,-,5063.0,5473.0,1663.0,-,-
2016-01-02 06:00:00,10555.0,-,-,11317.0,9155.0,4707.0,-,5085.0,5593.0,1727.0,-,-
2016-01-02 06:30:00,10870.0,-,-,11428.0,9195.0,4938.0,-,5071.0,5791.0,1767.0,-,-
