,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2016-01-01 00:00:00,186.0,114.0,140.0,66.0,201.0,517.0,288.0,336.0,112.0,62.0,401.0,124.0
2016-01-01 00:30:00,168.0,120.0,141.0,68.0,204.0,481.0,302.0,340.0,115.0,62.0,326.0,127.0
2016-01-01 01:00:00,167.0,120.0,140.0,60.0,203.0,532.0,301.0,340.0,116.0,62.0,262.0,126.0
2016-01-01 01:30:00,167.0,119.0,141.0,60.0,202.0,530.0,303.0,348.0,116.0,62.0,262.0,126.0
2016-01-01 02:00:00,168.0,122.0,141.0,60.0,205.0,526.0,301.0,342.0,119.0,63.0,264.0,124.0
2016-01-01 02:30:00,168.0,115.0,142.0,58.0,207.0,543.0,304.0,343.0,119.0,63.0,264.0,123.0
2016-01-01 03:00:00,168.0,114.0,143.0,58.0,207.0,546.0,304.0,347.0,119.0,62.0,266.0,124.0
2016-01-01 03:30:00,168.0,104.0,143.0,58.0,208.0,510.0,304.0,348.0,119.0,63.0,265.0,123.0
2016-01-01 04:00:00,168.0,103.0,143.0,59.0,208.0,538.0,304.0,348.0,119.0,63.0,265.0,121.0
2016-01-01 04:30:00,168.0,110.0,143.0,58.0,209.0,531.0,304.0,349.0,119.0,62.0,265.0,122.0
2016-01-01 05:00:00,167.0,115.0,143.0,58.0,208.0,540.0,304.0,348.0,119.0,62.0,264.0,122.0
2016-01-01 05:30:00,167.0,104.0,143.0,58.0,209.0,516.0,304.0,349.0,119.0,63.0,265.0,122.0
2016-01-01 06:00:00,164.0,104.0,141.0,59.0,209.0,511.0,304.0,349.0,119.0,62.0,267.0,122.0
2016-01-01 06:30:00,164.0,105.0,142.0,59.0,209.0,526.0,304.0,349.0,119.0,63.0,266.0,121.0
2016-01-01 07:00:00,164.0,103.0,142.0,58.0,207.0,541.0,304.0,350.0,119.0,62.0,265.0,122.0
2016-01-01 07:30:00,167.0,104.0,142.0,58.0,208.0,541.0,305.0,350.0,119.0,63.0,265.0,122.0
2016-01-01 08:00:00,167.0,103.0,140.0,58.0,207.0,538.0,304.0,349.0,119.0,59.0,265.0,122.0
2016-01-01 08:30:00,167.0,103.0,140.0,59.0,207.0,543.0,304.0,349.0,119.0,59.0,267.0,121.0
2016-01-01 09:00:00,167.0,105.0,140.0,58.0,208.0,524.0,304.0,349.0,119.0,58.0,266.0,120.0
2016-01-01 09:30:00,167.0,105.0,140.0,58.0,209.0,536.0,304.0,349.0,119.0,59.0,266.0,123.0
2016-01-01 10:00:00,168.0,104.0,142.0,58.0,209.0,512.0,303.0,349.0,119.0,62.0,266.0,117.0
2016-01-01 10:30:00,168.0,105.0,142.0,58.0,203.0,536.0,304.0,349.0,119.0,62.0,264.0,117.0
2016-01-01 11:00:00,168.0,116.0,140.0,59.0,209.0,537.0,304.0,350.0,119.0,62.0,268.0,117.0
2016-01-01 11:30:00,167.0,117.0,141.0,59.0,202.0,542.0,303.0,349.0,119.0,62.0,270.0,120.0
2016-01-01 12:00:00,167.0,115.0,141.0,61.0,209.0,535.0,303.0,349.0,118.0,62.0,270.0,120.0
2016-01-01 12:30:00,167.0,116.0,141.0,62.0,207.0,539.0,299.0,349.0,119.0,62.0,270.0,121.0
2016-01-01 13:00:00,167.0,115.0,140.0,63.0,206.0,540.0,298.0,349.0,119.0,61.0,270.0,121.0
2016-01-01 13:30:00,167.0,115.0,140.0,59.0,206.0,536.0,298.0,349.0,119.0,62.0,270.0,121.0
2016-01-01 14:00:00,167.0,117.0,136.0,62.0,208.0,542.0,298.0,349.0,119.0,62.0,269.0,123.0
2016-01-01 14:30:00,166.0,116.0,136.0,67.0,208.0,542.0,298.0,350.0,118.0,61.0,269.0,124.0
2016-01-01 15:00:00,167.0,118.0,137.0,67.0,208.0,514.0,298.0,350.0,118.0,62.0,268.0,125.0
2016-01-01 15:30:00,166.0,116.0,138.0,67.0,208.0,513.0,298.0,350.0,119.0,61.0,269.0,124.0
2016-01-01 16:00:00,166.0,114.0,139.0,68.0,208.0,536.0,298.0,350.0,119.0,61.0,270.0,123.0
2016-01-01 16:30:00,166.0,113.0,141.0,68.0,208.0,539.0,298.0,350.0,119.0,61.0,271.0,122.0
2016-01-01 17:00:00,166.0,115.0,139.0,68.0,208.0,537.0,298.0,350.0,119.0,61.0,268.0,122.0
2016-01-01 17:30:00,167.0,115.0,136.0,67.0,207.0,551.0,297.0,349.0,119.0,61.0,269.0,123.0
2016-01-01 18:00:00,167.0,116.0,141.0,67.0,207.0,548.0,297.0,349.0,125.0,62.0,272.0,122.0
2016-01-01 18:30:00,167.0,116.0,140.0,67.0,207.0,551.0,298.0,350.0,124.0,61.0,268.0,119.0
2016-01-01 19:00:00,166.0,117.0,141.0,67.0,208.0,552.0,298.0,350.0,124.0,61.0,268.0,123.0
2016-01-01 19:30:00,167.0,117.0,141.0,68.0,207.0,551.0,298.0,349.0,132.0,62.0,268.0,120.0
2016-01-01 20:00:00,167.0,117.0,141.0,67.0,208.0,530.0,298.0,350.0,124.0,61.0,266.0,119.0
2016-01-01 20:30:00,167.0,110.0,140.0,68.0,208.0,548.0,298.0,350.0,124.0,61.0,269.0,119.0
2016-01-01 21:00:00,167.0,110.0,149.0,68.0,208.0,551.0,298.0,349.0,124.0,61.0,268.0,119.0
2016-01-01 21:30:00,167.0,113.0,146.0,68.0,208.0,551.0,298.0,350.0,124.0,61.0,268.0,119.0
2016-01-01 22:00:00,167.0,116.0,135.0,68.0,207.0,547.0,298.0,349.0,124.0,61.0,267.0,119.0
2016-01-01 22:30:00,167.0,117.0,132.0,69.0,207.0,547.0,295.0,350.0,124.0,61.0,270.0,121.0
2016-01-01 23:00:00,167.0,116.0,140.0,69.0,207.0,553.0,293.0,350.0,124.0,61.0,270.0,119.0
2016-01-01 23:30:00,166.0,116.0,139.0,69.0,206.0,551.0,297.0,349.0,124.0,62.0,270.0,119.0
2016-01-02 00:00:00,166.0,116.0,137.0,70.0,208.0,547.0,296.0,349.0,123.0,62.0,267.0,119.0
2016-01-02 00:30:00,166.0,115.0,125.0,69.0,208.0,538.0,296.0,349.0,123.0,61.0,268.0,120.0
2016-01-02 01:00:00,166.0,115.0,125.0,69.0,208.0,539.0,295.0,350.0,124.0,62.0,267.0,119.0
2016-01-02 01:30:00,166.0,114.0,126.0,68.0,208.0,538.0,295.0,349.0,124.0,62.0,267.0,125.0
2016-01-02 02:00:00,166.0,116.0,126.0,68.0,208.0,536.0,295.0,349.0,114.0,61.0,269.0,127.0
2016-01-02 02:30:00,166.0,114.0,131.0,67.0,197.0,534.0,295.0,350.0,114.0,62.0,268.0,128.0
2016-01-02 03:00:00,166.0,115.0,137.0,67.0,198.0,534.0,295.0,350.0,114.0,62.0,269.0,127.0
2016-01-02 03:30:00,166.0,114.0,139.0,67.0,203.0,533.0,295.0,350.0,114.0,61.0,269.0,127.0
2016-01-02 04:00:00,166.0,114.0,139.0,66.0,203.0,526.0,295.0,350.0,114.0,61.0,271.0,128.0
2016-01-02 04:30:00,166.0,116.0,138.0,66.0,203.0,529.0,294.0,347.0,114.0,62.0,269.0,126.0
2016-01-02 05:00:00,166.0,114.0,135.0,67.0,203.0,537.0,294.0,348.0,124.0,61.0,270.0,128.0
2016-01-02 05:30:00,166.0,113.0,143.0,66.0,203.0,540.0,295.0,349.0,125.0,61.0,269.0,128.0
2016-01-02 06:00:00,166.0,114.0,143.0,66.0,203.0,514.0,294.0,350.0,127.0,62.0,270.0,127.0
2016-01-02 06:30:00,166.0,112.0,143.0,66.0,203.0,517.0,294.0,350.0,128.0,62.0,273.0,124.0
2016-01-02 07:00:00,166.0,115.0,141.0,68.0,203.0,501.0,294.0,350.0,130.0,61.0,268.0,124.0
2016-01-02 07:30:00,166.0,112.0,144.0,67.0,203.0,529.0,293.0,350.0,135.0,62.0,270.0,126.0
2016-01-02 08:00:00,166.0,114.0,142.0,67.0,203.0,520.0,292.0,349.0,134.0,62.0,268.0,115.0
2016-01-02 08:30:00,166.0,113.0,142.0,67.0,203.0,472.0,292.0,349.0,135.0,61.0,270.0,106.0
2016-01-02 09:00:00,166.0,114.0,143.0,68.0,203.0,511.0,294.0,349.0,135.0,62.0,270.0,115.0
2016-01-02 09:30:00,166.0,114.0,143.0,67.0,203.0,529.0,292.0,350.0,134.0,62.0,268.0,125.0
2016-01-02 10:00:00,166.0,114.0,145.0,67.0,192.0,501.0,293.0,350.0,134.0,62.0,269.0,126.0
2016-01-02 10:30:00,166.0,109.0,146.0,67.0,195.0,527.0,292.0,350.0,134.0,61.0,272.0,125.0
2016-01-02 11:00:00,166.0,114.0,147.0,67.0,195.0,523.0,294.0,349.0,134.0,62.0,272.0,124.0
2016-01-02 11:30:00,166.0,115.0,147.0,67.0,195.0,451.0,294.0,350.0,135.0,62.0,270.0,127.0
2016-01-02 12:00:00,166.0,114.0,146.0,67.0,198.0,453.0,294.0,349.0,140.0,62.0,272.0,124.0
2016-01-02 12:30:00,166.0,113.0,145.0,67.0,202.0,462.0,293.0,349.0,139.0,61.0,270.0,126.0
2016-01-02 13:00:00,166.0,115.0,147.0,67.0,205.0,468.0,293.0,352.0,140.0,62.0,270.0,119.0
2016-01-02 13:30:00,166.0,114.0,147.0,67.0,205.0,466.0,294.0,353.0,139.0,62.0,271.0,123.0
2016-01-02 14:00:00,166.0,113.0,145.0,67.0,205.0,492.0,291.0,350.0,139.0,62.0,272.0,120.0
2016-01-02 14:30:00,166.0,114.0,145.0,67.0,205.0,502.0,290.0,347.0,139.0,61.0,274.0,128.0
2016-01-02 15:00:00,166.0,115.0,147.0,67.0,206.0,509.0,293.0,346.0,140.0,62.0,272.0,125.0
2016-01-02 15:30:00,166.0,113.0,149.0,65.0,206.0,513.0,293.0,348.0,140.0,62.0,270.0,127.0
2016-01-02 16:00:00,166.0,116.0,149.0,67.0,207.0,497.0,294.0,349.0,140.0,61.0,264.0,126.0
2016-01-02 16:30:00,166.0,116.0,149.0,67.0,206.0,505.0,296.0,354.0,140.0,62.0,301.0,121.0
