,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2017-06-01 00:00:00,6035,1966,2490,1996,4918,5706,6755,2975,4203,4087,4078,2852
2017-06-01 00:15:00,5884,1968,2404,1939,4658,5653,6774,2899,4258,3893,3922,2821
2017-06-01 00:30:00,5666,1924,2250,1869,4593,5438,6444,2813,4055,3717,3699,2670
2017-06-01 00:45:00,5585,1906,2125,1768,4589,5408,6085,2694,3888,3560,3574,2518
2017-06-01 01:00:00,5457,1870,2014,1733,4371,5265,5894,2665,3807,3490,3482,2450
2017-06-01 01:15:00,5484,1882,1898,1782,4512,5328,5777,2657,4001,3413,3524,2429
2017-06-01 01:30:00,5449,1862,1922,1712,-289,5177,5569,2599,3866,3357,3467,2367
2017-06-01 01:45:00,5436,1922,2039,1669,4636,5088,5455,2617,3713,3369,3408,2481
2017-06-01 02:00:00,5486,1938,1953,1637,4542,5020,5326,2523,3715,3292,3472,2376
2017-06-01 02:15:00,5569,1958,1869,1617,4520,5025,5344,2470,3818,3331,3663,2292
2017-06-01 02:30:00,5437,1869,1786,1572,4400,4936,5228,2413,3733,3280,3472,2217
2017-06-01 02:45:00,5385,1839,1749,1553,4367,4808,5165,2379,3612,3225,3327,2156
2017-06-01 03:00:00,5360,1819,1685,1526,4464,4829,5185,2338,3505,3141,3263,2088
2017-06-01 03:15:00,5383,1897,1646,1531,4368,4746,5076,2330,3410,3170,3218,2086
2017-06-01 03:30:00,5288,1820,1629,1497,4323,4693,5016,2303,3368,3110,3150,2066
2017-06-01 03:45:00,5201,1815,1630,1462,4326,4755,4986,2302,3312,3076,3109,2035
2017-06-01 04:00:00,5257,1765,1615,1458,4263,4644,4905,2302,3277,3020,3146,2056
2017-06-01 04:15:00,5253,1748,1618,1477,4256,4753,4972,2285,3293,3025,3130,2061
2017-06-01 04:30:00,5299,1759,1624,1464,4060,4756,4978,2274,3279,3001,3061,2055
2017-06-01 04:45:00,5288,1716,1641,1465,4285,4771,4902,2292,3341,2982,3129,2053
2017-06-01 05:00:00,5263,1766,1631,1473,4256,4692,5012,2307,3359,3026,3118,2091
2017-06-01 05:15:00,5360,1836,1690,1497,4233,4744,5027,2364,3385,3005,3105,2160
2017-06-01 05:30:00,5418,1808,1730,1490,-424,4855,5114,2369,3447,3051,3179,2200
2017-06-01 05:45:00,5407,1828,1750,1523,4241,4878,5149,2369,3490,3115,3141,2245
2017-06-01 06:00:00,5457,1865,1791,1518,4357,4981,5204,2392,3545,3137,3149,2252
2017-06-01 06:15:00,5592,1925,1840,1584,4358,5080,5490,2431,3616,3196,3254,2349
2017-06-01 06:30:00,5746,1986,1898,1640,4597,5117,5705,2504,3760,3277,3394,2413
2017-06-01 06:45:00,5921,2081,1974,1694,4672,5295,5850,2566,3881,3320,3479,2451
2017-06-01 07:00:00,6060,2161,2033,1806,4869,5363,6233,2650,3963,3449,3554,2568
2017-06-01 07:15:00,6026,2237,2154,1829,4878,5593,6473,2729,4002,3548,3564,2650
2017-06-01 07:30:00,6257,2228,2206,1846,4989,5631,6826,2803,4189,3604,3598,2739
2017-06-01 07:45:00,6313,2360,2182,1850,5197,5746,6932,2795,4283,3599,3727,2801
2017-06-01 08:00:00,6507,2374,2246,1924,5118,5908,7181,2874,4267,3678,3795,2881
2017-06-01 08:15:00,6477,2416,2335,1974,5132,5861,7265,2917,4327,3792,3792,2883
2017-06-01 08:30:00,6595,2420,2375,2001,19,5849,7334,2954,4462,3866,3914,2955
2017-06-01 08:45:00,6606,2450,2380,2010,5233,6071,7399,2976,4427,3887,3939,2969
2017-06-01 09:00:00,6716,2419,2421,2025,5237,6005,7577,2999,4626,3945,4024,2976
2017-06-01 09:15:00,6789,2425,2444,2027,5392,5854,7669,3039,4543,3958,4066,2957
2017-06-01 09:30:00,6805,2452,2485,2053,5448,6041,7749,3057,4660,3973,4069,3033
2017-06-01 09:45:00,6900,2507,2495,2064,5306,6145,7785,3068,4704,4056,4172,3040
2017-06-01 10:00:00,6888,2457,2524,2083,5319,6058,7895,3072,4725,4130,4214,3074
2017-06-01 10:15:00,6886,2490,2506,2055,5369,5995,7907,3083,4764,4175,4252,3046
2017-06-01 10:30:00,6994,2602,2492,2071,5402,6086,7934,3069,4770,4191,4191,3059
2017-06-01 10:45:00,7024,2571,2513,2127,5349,6069,7958,3077,4753,4185,4251,3124
2017-06-01 11:00:00,7132,2595,2502,2127,5432,6024,8011,3091,4697,4188,4274,3100
2017-06-01 11:15:00,7026,2609,2531,2077,5523,6031,8075,3107,4773,4208,4258,3126
2017-06-01 11:30:00,6995,2593,2534,2073,5538,6109,8080,3107,4784,4266,4284,3159
2017-06-01 11:45:00,7108,2615,2562,2084,5518,6178,8076,3132,4880,4228,4315,3160
2017-06-01 12:00:00,7046,2648,2549,2097,5630,6256,8170,3158,4752,4257,4364,3208
2017-06-01 12:15:00,7008,2639,2564,2075,5507,6179,8153,3199,4748,4283,4467,3160
2017-06-01 12:30:00,6975,2601,2632,2085,5551,6239,8192,3185,4910,4282,4399,3148
2017-06-01 12:45:00,7090,2560,2694,2183,5670,6323,8169,3200,4922,4468,4357,3288
2017-06-01 13:00:00,7021,2576,2606,2106,5546,6324,8114,3137,4949,4404,4370,3178
2017-06-01 13:15:00,7032,2514,2531,2112,5523,6348,8063,3111,4950,4329,4569,3134
2017-06-01 13:30:00,7062,2563,2503,2066,5411,6350,8064,3096,4926,4290,4413,3087
2017-06-01 13:45:00,7106,2563,2501,2102,5523,6219,8009,3072,4903,4359,4349,3081
2017-06-01 14:00:00,7207,2548,2499,2078,5468,6138,8053,3058,5056,4346,4402,3096
2017-06-01 14:15:00,7296,2527,2507,2094,5515,6187,8285,3069,4829,4277,4630,3072
2017-06-01 14:30:00,7263,2499,2500,2074,5395,6190,8131,3049,4781,4293,4539,3076
2017-06-01 14:45:00,7266,2534,2463,2166,5405,5966,8076,3014,4434,4263,4500,2993
2017-06-01 15:00:00,7244,2496,2422,2136,5386,5977,7979,2983,4569,4246,4401,3052
2017-06-01 15:15:00,7221,2478,2396,2082,314,5987,7876,2967,4649,4280,4403,3070
2017-06-01 15:30:00,7249,2603,2382,2071,5376,5992,7914,2969,4578,4227,4404,3054
2017-06-01 15:45:00,7168,2478,2398,2039,5338,5812,7850,2945,4904,4229,4296,3054
2017-06-01 16:00:00,7003,2426,2390,2025,5258,5997,7889,2935,4887,4206,4310,3012
2017-06-01 16:15:00,7007,2412,2342,2004,5269,5852,7966,2921,4774,4152,4287,2992
2017-06-01 16:30:00,6979,2371,2337,1977,236,5918,7902,2908,4681,4106,4264,2965
2017-06-01 16:45:00,6848,2383,2339,1976,5181,5955,7869,2917,4719,4057,4165,2946
2017-06-01 17:00:00,6770,2403,2339,1994,5171,5926,7858,2870,4720,4000,4071,2882
2017-06-01 17:15:00,6725,2347,2316,1984,5092,5813,7901,2869,4505,3976,4110,2865
2017-06-01 17:30:00,6646,2361,2312,1948,5153,5940,7817,2876,4578,3946,4196,2872
2017-06-01 17:45:00,6731,2346,2273,2021,216,5920,7833,2863,4555,3929,4091,2847
2017-06-01 18:00:00,6625,2369,2279,2008,5128,5937,7879,2870,4529,4042,4154,2844
2017-06-01 18:15:00,6593,2378,2303,2040,5181,5926,7784,2908,4553,4023,4069,2842
2017-06-01 18:30:00,6804,2413,2320,2079,5144,5945,7919,2910,4374,4043,4106,2925
2017-06-01 18:45:00,6722,2430,2345,2029,5305,6048,7917,2921,4455,4045,4125,2923
2017-06-01 19:00:00,6892,2471,2327,2054,5235,5913,8019,2955,4368,4075,4145,2924
2017-06-01 19:15:00,6750,2384,2335,2097,5326,5947,7932,2942,4229,4100,4179,2856
2017-06-01 19:30:00,6739,2409,2298,2058,5194,5916,7906,2914,4238,4022,4126,2875
2017-06-01 19:45:00,6684,2387,2274,1975,5201,5739,7914,2874,4183,3984,4118,2806
2017-06-01 20:00:00,6557,2304,2217,1972,5023,5756,7810,2836,4153,3897,4136,2751
2017-06-01 20:15:00,6431,2355,2171,1952,5056,5781,7546,2783,4090,3818,4047,2663
2017-06-01 20:30:00,6286,2249,2129,1924,4978,5643,7367,2742,4338,3760,3978,2632
2017-06-01 20:45:00,6300,2208,2076,1869,4988,5594,7305,2703,4189,3757,4037,2587
2017-06-01 21:00:00,6184,2214,2021,1896,4907,5554,7161,2712,4161,3678,3981,2517
2017-06-01 21:15:00,6295,2247,1997,1888,4952,5457,7150,2839,4150,3677,3956,2471
2017-06-01 21:30:00,6147,2277,1991,1909,4841,5506,7033,2806,4067,3673,3871,2456
2017-06-01 21:45:00,6077,2313,2132,1901,4989,5358,7089,2792,4062,3742,3889,2449
2017-06-01 22:00:00,6103,2283,2129,1869,4985,5365,6804,2811,4282,3734,3855,2430
2017-06-01 22:15:00,6166,2256,2151,1892,5046,5429,7057,2960,4330,3752,3853,2539
2017-06-01 22:30:00,6312,2288,2286,1873,5099,5619,7235,3068,4139,3883,3884,2745
2017-06-01 22:45:00,6644,2292,2509,1921,5144,5531,7646,3176,4391,4382,3819,3195
2017-06-01 23:00:00,6601,2178,2443,1930,4923,5522,7521,3107,4220,4308,3986,3117
2017-06-01 23:15:00,6756,2137,2343,1949,5114,5618,7384,3056,4110,4201,4597,2976
2017-06-01 23:30:00,6497,2083,2383,1983,5053,5652,7115,3023,4108,4150,4495,2922
2017-06-01 23:45:00,-,-,-,-,-,-,-,-,-,-,-,-
2017-06-02 00:00:00,6113,2059,2516,2050,4793,5869,6780,2956,4251,4079,4119,2840
2017-06-02 00:15:00,5968,2015,2404,2020,-231,5738,6615,2893,4372,3926,3867,2837
2017-06-02 00:30:00,5725,1985,2259,1922,4703,5647,6326,2768,4372,3749,3751,2661
2017-06-02 00:45:00,5601,1921,2115,1837,4544,5419,6172,2655,3991,3554,3626,2534
2017-06-02 01:00:00,5544,1893,1983,1785,4522,5374,5858,2624,4073,3441,3521,2435
2017-06-02 01:15:00,5555,1939,1867,1817,4556,5378,5616,2629,4223,3385,3508,2447
2017-06-02 01:30:00,5563,1955,1897,1760,4566,5322,5510,2570,4085,3358,3480,2400
2017-06-02 01:45:00,5595,1969,2025,1724,4681,5270,5396,2574,3977,3352,3412,2490
2017-06-02 02:00:00,5562,1961,1929,1686,4502,5194,5280,2474,3873,3313,3455,2382
2017-06-02 02:15:00,5677,1938,1877,1642,-351,5213,5419,2466,3919,3325,3612,2283
2017-06-02 02:30:00,5504,1916,1780,1586,4530,4987,5211,2402,3785,3259,3478,2215
2017-06-02 02:45:00,5528,1840,1741,1592,4476,4982,5106,2357,3781,3217,3366,2148
2017-06-02 03:00:00,5484,1811,1676,1541,4446,4894,5091,2326,3637,3163,3349,2106
2017-06-02 03:15:00,5432,1855,1669,1526,4390,4724,5073,2303,3541,3158,3185,2104
2017-06-02 03:30:00,5315,1757,1648,1497,-761,4715,5031,2304,3471,3097,3222,2078
2017-06-02 03:45:00,5245,1775,1622,1490,4354,4820,4977,2288,3472,3077,3168,2057
2017-06-02 04:00:00,5256,1750,1624,1478,4173,4890,4984,2298,3376,3046,3165,2058
2017-06-02 04:15:00,5209,1738,1634,1495,4358,4832,4918,2300,3410,3038,3142,2066
2017-06-02 04:30:00,5127,1780,1651,1481,4343,4654,4946,2275,3426,2997,3153,2061
2017-06-02 04:45:00,5214,1752,1672,1484,4310,4762,4997,2276,3417,2997,3071,2074
2017-06-02 05:00:00,5301,1764,1662,1496,4197,4753,4984,2324,3426,3001,3091,2092
2017-06-02 05:15:00,5304,1840,1705,1529,4390,4772,5048,2344,3529,3022,3129,2177
2017-06-02 05:30:00,5347,1817,1744,1535,4362,4844,5098,2370,3579,3081,3141,2213
2017-06-02 05:45:00,5291,1839,1778,1543,4372,4843,5177,2383,3645,3097,3153,2239
2017-06-02 06:00:00,5412,1903,1788,1594,4518,4956,5282,2403,3587,3096,3180,2285
2017-06-02 06:15:00,5563,1889,1862,1641,4557,5128,5494,2458,3644,3172,3286,2365
2017-06-02 06:30:00,5658,1946,1896,1651,4643,5230,5658,2502,3806,3256,3401,2432
2017-06-02 06:45:00,5813,2036,1958,1735,4686,5373,5869,2559,3895,3273,3500,2505
2017-06-02 07:00:00,5965,2086,2041,1784,4948,5351,6223,2646,3978,3430,3587,2601
2017-06-02 07:15:00,6053,2163,2138,1858,4992,5515,6609,2709,4080,3321,3498,2693
2017-06-02 07:30:00,6256,2259,2195,1897,5115,5557,6848,2773,4150,3405,3620,2771
2017-06-02 07:45:00,6315,2311,2174,1838,5071,5540,7068,2792,4257,3412,3664,2803
2017-06-02 08:00:00,6440,2399,2256,1987,5101,5842,7187,2835,4354,3525,3793,2868
2017-06-02 08:15:00,6506,2436,2306,1960,5271,5807,7327,2876,4442,3607,3947,2957
2017-06-02 08:30:00,6575,2481,2364,1996,5357,5791,7443,2932,4373,3621,3913,2946
2017-06-02 08:45:00,6681,2500,2382,1978,5294,5778,7532,2932,4594,3754,4018,2995
2017-06-02 09:00:00,6749,2507,2433,2038,5288,5782,7727,2970,4541,3747,4070,3037
2017-06-02 09:15:00,6808,2469,2455,2083,5359,5926,7837,2999,4601,3839,4135,3018
2017-06-02 09:30:00,6832,2527,2469,2098,5373,5875,7876,3010,4692,3920,4173,3096
2017-06-02 09:45:00,6877,2558,2477,2052,5342,5883,7887,3037,4716,3972,4157,3091
2017-06-02 10:00:00,6946,2473,2498,2100,5371,5902,8011,3035,4757,3968,4189,3100
2017-06-02 10:15:00,6919,2587,2485,2188,5508,5995,7939,3081,4703,4018,4204,3125
2017-06-02 10:30:00,7025,2556,2496,2102,5513,5880,8072,3049,4829,4011,4260,3138
2017-06-02 10:45:00,6928,2532,2481,2104,5427,6031,8069,3081,4762,4046,4274,3125
2017-06-02 11:00:00,7075,2589,2505,2105,5466,6119,8196,3088,4592,4050,4333,3140
2017-06-02 11:15:00,7191,2569,2517,2132,5552,6143,8160,3091,4535,4059,4327,3189
2017-06-02 11:30:00,7191,2625,2491,2103,5556,6119,8185,3103,4708,4054,4332,3142
2017-06-02 11:45:00,7203,2542,2503,2121,5606,6047,8236,3134,4577,4109,4385,3131
2017-06-02 12:00:00,7293,2587,2504,2092,5590,6133,8325,3174,4776,4201,4395,3120
2017-06-02 12:15:00,7180,2628,2530,2102,5601,6178,8361,3191,4678,4348,4453,3093
2017-06-02 12:30:00,7181,2658,2597,2115,5635,6328,8329,3152,4646,4399,4391,3134
2017-06-02 12:45:00,7352,2578,2671,2197,5696,6261,8294,3203,4819,4529,4346,3210
2017-06-02 13:00:00,7168,2529,2590,2155,5633,6232,8263,3135,4669,4471,4435,3136
