,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2017-06-01 00:00:00,8996,-,-,6724,7359,3440,-,4813,4205,2536,-,-
2017-06-01 00:15:00,9109,-,-,6668,7367,3460,-,4941,4168,2462,-,-
2017-06-01 00:30:00,9053,-,-,6545,7365,3376,-,4874,4131,2409,-,-
2017-06-01 00:45:00,8990,-,-,6450,7359,3319,-,4809,4108,2358,-,-
2017-06-01 01:00:00,9033,-,-,6464,7361,3340,-,4860,4105,2363,-,-
2017-06-01 01:15:00,9086,-,-,6587,7354,3396,-,4889,4151,2427,-,-
2017-06-01 01:30:00,9008,-,-,6484,3985,3326,-,4830,4117,2370,-,-
2017-06-01 01:45:00,9066,-,-,6520,7329,3352,-,4849,4123,2394,-,-
2017-06-01 02:00:00,9056,-,-,6492,7318,3347,-,4832,4118,2356,-,-
2017-06-01 02:15:00,9129,-,-,6716,7313,3490,-,4958,4183,2476,-,-
2017-06-01 02:30:00,9091,-,-,6583,7335,3388,-,4892,4146,2413,-,-
2017-06-01 02:45:00,9077,-,-,6639,7341,3368,-,4626,4128,2398,-,-
2017-06-01 03:00:00,9056,-,-,6595,7346,3312,-,4560,4109,2362,-,-
2017-06-01 03:15:00,9117,-,-,6732,7348,3461,-,4723,4169,2451,-,-
2017-06-01 03:30:00,8666,-,-,6712,7344,3427,-,4692,4160,2434,-,-
2017-06-01 03:45:00,8672,-,-,6756,7351,3476,-,4758,4154,2467,-,-
2017-06-01 04:00:00,8936,-,-,6738,7350,3424,-,4696,4148,2441,-,-
2017-06-01 04:15:00,9042,-,-,6761,7372,3444,-,4716,4154,2460,-,-
2017-06-01 04:30:00,9087,-,-,6726,7343,3401,-,4669,4155,2430,-,-
2017-06-01 04:45:00,9104,-,-,6738,7361,3405,-,4677,4161,2427,-,-
2017-06-01 05:00:00,9106,-,-,6728,7353,3380,-,4654,4155,2420,-,-
2017-06-01 05:15:00,9084,-,-,6707,7371,3374,-,4634,4208,2406,-,-
2017-06-01 05:30:00,9087,-,-,6728,4011,3374,-,4638,4206,2414,-,-
2017-06-01 05:45:00,9101,-,-,6750,7348,3394,-,4668,4210,2426,-,-
2017-06-01 06:00:00,9089,-,-,6708,7341,3384,-,4588,4210,2406,-,-
2017-06-01 06:15:00,9073,-,-,6696,7377,3333,-,4579,4213,2373,-,-
2017-06-01 06:30:00,9116,-,-,6790,7377,3414,-,4702,4208,2452,-,-
2017-06-01 06:45:00,9173,-,-,6858,7356,3491,-,4837,4213,2493,-,-
2017-06-01 07:00:00,9186,-,-,6880,7356,3498,-,4946,4202,2494,-,-
2017-06-01 07:15:00,9112,-,-,6816,7398,3434,-,4909,4213,2458,-,-
2017-06-01 07:30:00,9130,-,-,6877,7403,3486,-,4971,4212,2477,-,-
2017-06-01 07:45:00,9140,-,-,6827,7415,3453,-,4971,4216,2459,-,-
2017-06-01 08:00:00,9127,-,-,6814,7411,3439,-,4955,4205,2459,-,-
2017-06-01 08:15:00,8990,-,-,6809,7389,3385,-,4973,4213,2407,-,-
2017-06-01 08:30:00,9057,-,-,6835,4011,3420,-,4975,4208,2449,-,-
2017-06-01 08:45:00,9074,-,-,6838,7394,3506,-,4975,4210,2528,-,-
2017-06-01 09:00:00,9069,-,-,6847,7373,3506,-,4972,4205,2545,-,-
2017-06-01 09:15:00,9092,-,-,6864,7373,3523,-,4980,4207,2549,-,-
