,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2017-06-01 00:00:00,-476,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 00:15:00,-476,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 00:30:00,-1104,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 00:45:00,-1099,0,-26,-,0,-,-,-,-,-13,0,-
2017-06-01 01:00:00,-1104,0,-46,-,-356,-,-,-,-,-13,0,-
2017-06-01 01:15:00,-1099,0,-53,-,-358,-,-,-,-,-13,0,-
2017-06-01 01:30:00,-1099,0,-48,-,-357,-,-,-,-,-13,0,-
2017-06-01 01:45:00,-1099,0,-51,-,-357,-,-,-,-,-13,0,-
2017-06-01 02:00:00,-1261,0,-50,-,-357,-,-,-,-,-13,0,-
2017-06-01 02:15:00,-1261,0,-51,-,-356,-,-,-,-,-49,0,-
2017-06-01 02:30:00,-1261,0,-52,-,-357,-,-,-,-,-49,0,-
2017-06-01 02:45:00,-1261,0,-40,-,-356,-,-,-,-,-49,0,-
2017-06-01 03:00:00,-1256,0,0,-,-356,-,-,-,-,-49,0,-
2017-06-01 03:15:00,-1256,0,0,-,-356,-,-,-,-,-49,0,-
2017-06-01 03:30:00,-1256,0,0,-,-354,-,-,-,-,-49,0,-
2017-06-01 03:45:00,-1256,0,0,-,-353,-,-,-,-,-49,0,-
2017-06-01 04:00:00,-1261,0,0,-,-354,-,-,-,-,-49,0,-
2017-06-01 04:15:00,-1256,0,0,-,-354,-,-,-,-,-49,0,-
2017-06-01 04:30:00,-1256,0,0,-,-354,-,-,-,-,-49,0,-
2017-06-01 04:45:00,-1261,0,0,-,-355,-,-,-,-,-49,0,-
2017-06-01 05:00:00,-947,0,0,-,-354,-,-,-,-,-49,0,-
2017-06-01 05:15:00,-947,0,0,-,-354,-,-,-,-,-49,0,-
2017-06-01 05:30:00,-942,0,0,-,-353,-,-,-,-,-49,0,-
2017-06-01 05:45:00,-942,0,0,-,-353,-,-,-,-,-49,0,-
2017-06-01 06:00:00,-942,0,0,-,-355,-,-,-,-,-49,0,-
2017-06-01 06:15:00,-942,0,0,-,-351,-,-,-,-,-49,0,-
2017-06-01 06:30:00,-942,0,0,-,-350,-,-,-,-,-49,0,-
2017-06-01 06:45:00,-947,0,0,-,0,-,-,-,-,-49,0,-
2017-06-01 07:00:00,-942,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 07:15:00,-5,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 07:30:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 07:45:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 08:00:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 08:15:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 08:30:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 08:45:00,-5,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 09:00:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 09:15:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 09:30:00,-5,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 09:45:00,-5,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 10:00:00,-5,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 10:15:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 10:30:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 10:45:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 11:00:00,0,0,0,-,-1,-,-,-,-,0,0,-
2017-06-01 11:15:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 11:30:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 11:45:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 12:00:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 12:15:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 12:30:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 12:45:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-01 13:00:00,0,0,-21,-,0,-,-,-,-,0,0,-
2017-06-01 13:15:00,0,0,-19,-,0,-,-,-,-,0,0,-
2017-06-01 13:30:00,0,0,-38,-,0,-,-,-,-,0,0,-
2017-06-01 13:45:00,0,0,-46,-,0,-,-,-,-,-13,0,-
2017-06-01 14:00:00,0,0,-52,-,0,-,-,-,-,-13,0,-
2017-06-01 14:15:00,0,0,-51,-,0,-,-,-,-,-13,0,-
2017-06-01 14:30:00,0,-30,-38,-,0,-,-,-,-,-13,0,-
2017-06-01 14:45:00,0,-30,-44,-,0,-,-,-,-,-13,0,-
2017-06-01 15:00:00,0,0,-39,-,0,-,-,-,-,-13,0,-
2017-06-01 15:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 15:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 15:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 16:00:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 16:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 16:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 16:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 17:00:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 17:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 17:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 17:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 18:00:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 18:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 18:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 18:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 19:00:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 19:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 19:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 19:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 20:00:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 20:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 20:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 20:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 21:00:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 21:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 21:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 21:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 22:00:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 22:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 22:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 22:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 23:00:00,-5,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 23:15:00,-5,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 23:30:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-01 23:45:00,-5,0,0,-,0,-,-,-,-,-13,0,-
2017-06-02 00:00:00,0,-30,0,-,0,-,-,-,-,-13,0,-
2017-06-02 00:15:00,-5,-30,0,-,0,-,-,-,-,-13,0,-
2017-06-02 00:30:00,-476,-30,0,-,0,-,-,-,-,-13,0,-
2017-06-02 00:45:00,-476,-30,0,-,0,-,-,-,-,-13,0,-
2017-06-02 01:00:00,-790,-30,0,-,0,-,-,-,-,-13,0,-
2017-06-02 01:15:00,-785,-30,-26,-,0,-,-,-,-,-13,0,-
2017-06-02 01:30:00,-942,-30,-13,-,0,-,-,-,-,-13,0,-
2017-06-02 01:45:00,-947,-30,-41,-,0,-,-,-,-,-49,-50,-
2017-06-02 02:00:00,-947,-30,-43,-,0,-,-,-,-,-49,-50,-
2017-06-02 02:15:00,-942,0,-52,-,0,-,-,-,-,-49,-50,-
2017-06-02 02:30:00,-785,0,-52,-,-180,-,-,-,-,-49,-50,-
2017-06-02 02:45:00,-785,0,-55,-,-180,-,-,-,-,-49,-50,-
2017-06-02 03:00:00,-790,0,-51,-,-179,-,-,-,-,-49,-51,-
2017-06-02 03:15:00,-790,0,-56,-,-193,-,-,-,-,-49,-50,-
2017-06-02 03:30:00,-785,0,-55,-,-356,-,-,-,-,-49,-50,-
2017-06-02 03:45:00,-790,0,-41,-,-352,-,-,-,-,-49,-50,-
2017-06-02 04:00:00,-1099,0,0,-,-354,-,-,-,-,-49,-50,-
2017-06-02 04:15:00,-1104,0,0,-,-355,-,-,-,-,-49,-50,-
2017-06-02 04:30:00,-1104,0,0,-,-355,-,-,-,-,-49,-50,-
2017-06-02 04:45:00,-1101,0,0,-,-350,-,-,-,-,-49,-50,-
2017-06-02 05:00:00,-1099,0,0,-,-355,-,-,-,-,-49,-50,-
2017-06-02 05:15:00,-1099,0,0,-,-178,-,-,-,-,-49,-50,-
2017-06-02 05:30:00,-1099,0,0,-,-179,-,-,-,-,-49,-50,-
2017-06-02 05:45:00,-1099,0,0,-,-175,-,-,-,-,-49,-50,-
2017-06-02 06:00:00,-1104,0,0,-,-175,-,-,-,-,-49,-50,-
2017-06-02 06:15:00,-947,0,0,-,-174,-,-,-,-,-49,0,-
2017-06-02 06:30:00,-942,0,0,-,-173,-,-,-,-,-49,0,-
2017-06-02 06:45:00,-633,0,0,-,0,-,-,-,-,-49,0,-
2017-06-02 07:00:00,0,0,0,-,0,-,-,-,-,-49,0,-
2017-06-02 07:15:00,-5,0,0,-,0,-,-,-,-,-13,0,-
2017-06-02 07:30:00,-5,0,0,-,0,-,-,-,-,-13,0,-
2017-06-02 07:45:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-02 08:00:00,-5,0,0,-,0,-,-,-,-,-13,0,-
2017-06-02 08:15:00,0,0,0,-,0,-,-,-,-,-13,0,-
2017-06-02 08:30:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-02 08:45:00,-5,0,0,-,0,-,-,-,-,0,0,-
2017-06-02 09:00:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-02 09:15:00,0,0,0,-,0,-,-,-,-,0,0,-
2017-06-02 09:30:00,0,0,0,-,0,-,-,-,-,0,0,-
