,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2017-06-01 00:00:00,36,57,1,1.0,1823,1156,8,231,53,-,190,494
2017-06-01 00:15:00,36,56,1,1.0,1901,1188,8,231,53,-,189,565
2017-06-01 00:30:00,36,56,1,1.0,1748,1169,8,232,53,-,190,528
2017-06-01 00:45:00,36,56,1,1.0,1595,1155,8,232,53,-,190,494
2017-06-01 01:00:00,36,57,1,1.0,1391,1158,8,232,53,-,190,496
2017-06-01 01:15:00,36,56,1,1.0,1447,1180,8,232,53,-,189,543
2017-06-01 01:30:00,36,22,1,1.0,679,1159,8,232,53,-,190,492
2017-06-01 01:45:00,36,56,1,1.0,1354,1165,8,232,53,-,190,514
2017-06-01 02:00:00,36,57,1,1.0,1277,1143,8,231,53,-,190,493
2017-06-01 02:15:00,36,56,1,1.0,1337,1142,8,231,53,-,190,579
2017-06-01 02:30:00,36,56,1,1.0,1250,1120,8,232,53,-,189,535
2017-06-01 02:45:00,36,56,1,1.0,1130,1110,8,231,53,-,189,513
2017-06-01 03:00:00,36,56,1,1.0,1320,1108,8,232,53,-,190,494
2017-06-01 03:15:00,36,56,1,1.0,1443,1140,8,233,53,-,190,556
2017-06-01 03:30:00,36,56,1,1.0,1428,1134,8,233,53,-,189,548
2017-06-01 03:45:00,36,56,1,1.0,1462,1143,8,232,53,-,190,567
2017-06-01 04:00:00,36,56,1,1.0,1424,1134,8,232,53,-,190,551
2017-06-01 04:15:00,36,56,1,1.0,1443,1140,8,233,53,-,190,557
2017-06-01 04:30:00,36,56,1,1.0,1411,1125,8,233,53,-,186,544
2017-06-01 04:45:00,36,56,1,1.0,1415,1112,8,232,53,-,186,459
2017-06-01 05:00:00,36,56,1,1.0,1434,1108,8,234,53,-,185,357
2017-06-01 05:15:00,36,56,1,1.0,1314,1100,8,232,53,-,186,324
2017-06-01 05:30:00,36,22,1,1.0,1007,1094,8,232,53,-,185,335
2017-06-01 05:45:00,36,56,1,1.0,1532,1105,8,231,53,-,186,349
2017-06-01 06:00:00,36,56,1,1.0,1507,1011,8,233,53,-,186,335
2017-06-01 06:15:00,36,56,1,1.0,1492,963,8,233,53,-,189,301
2017-06-01 06:30:00,36,56,1,1.0,1626,987,8,232,53,-,189,340
2017-06-01 06:45:00,36,56,1,1.0,1712,1004,8,231,53,-,190,385
2017-06-01 07:00:00,36,56,1,1.0,1741,1008,8,232,53,-,189,398
2017-06-01 07:15:00,36,56,1,1.0,1789,991,7,232,53,-,190,353
2017-06-01 07:30:00,36,56,1,1.0,2055,1000,7,233,53,-,190,372
2017-06-01 07:45:00,36,56,1,1.0,2042,1002,8,232,53,-,189,366
2017-06-01 08:00:00,36,56,1,1.0,2034,1043,7,232,53,-,189,374
2017-06-01 08:15:00,36,57,1,1.0,1937,1015,8,233,53,-,190,325
2017-06-01 08:30:00,36,22,1,1.0,1251,1022,7,232,53,-,190,345
2017-06-01 08:45:00,36,56,1,1.0,2000,1131,8,232,53,-,190,352
2017-06-01 09:00:00,36,56,1,1.0,1983,1114,8,233,53,-,190,349
2017-06-01 09:15:00,36,56,1,1.0,2057,1135,8,233,53,-,190,379
2017-06-01 09:30:00,36,56,1,1.0,2110,1120,8,231,53,-,190,401
2017-06-01 09:45:00,36,56,1,1.0,2075,1166,8,230,53,-,190,388
2017-06-01 10:00:00,45,56,1,1.0,2051,1133,8,232,53,-,190,383
2017-06-01 10:15:00,46,56,1,1.0,1995,1178,7,233,53,-,190,354
2017-06-01 10:30:00,47,56,1,1.0,2005,1113,7,234,53,-,189,369
2017-06-01 10:45:00,47,56,1,1.0,2067,1167,7,233,53,-,189,389
2017-06-01 11:00:00,47,56,1,1.0,2032,1170,7,235,53,-,189,383
2017-06-01 11:15:00,47,56,1,1.0,1980,1181,7,234,53,-,189,361
2017-06-01 11:30:00,47,56,1,1.0,2017,1113,7,235,53,-,212,380
2017-06-01 11:45:00,47,56,1,1.0,2004,1132,7,235,53,-,189,378
2017-06-01 12:00:00,47,56,1,1.0,1980,1141,8,235,53,-,190,372
2017-06-01 12:15:00,47,56,1,1.0,1952,1090,7,232,53,-,190,364
2017-06-01 12:30:00,47,56,1,1.0,1945,1079,8,236,53,-,190,361
2017-06-01 12:45:00,47,56,1,1.0,2050,1159,8,234,53,-,190,403
2017-06-01 13:00:00,42,57,1,1.0,1979,1164,8,235,53,-,190,377
2017-06-01 13:15:00,36,56,1,1.0,2059,1099,8,233,53,-,190,410
2017-06-01 13:30:00,36,56,1,1.0,2032,1104,7,234,53,-,190,399
2017-06-01 13:45:00,36,56,1,1.0,2061,1162,121,234,53,-,190,411
2017-06-01 14:00:00,36,56,1,1.0,1988,1172,192,234,53,-,190,385
2017-06-01 14:15:00,36,56,1,1.0,2070,1118,192,231,53,-,190,408
2017-06-01 14:30:00,36,56,1,1.0,2048,1127,191,229,53,-,191,477
