Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2013-01-01 00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013-01-01 00:30:00,8173,2357,3050,2476,4943,5989,9134,3683,5464,5228,5570,3595
2013-01-01 01:00:00,7944,2289,2866,2319,4811,5832,8822,3549,5422,4955,5698,3359
2013-01-01 01:30:00,7896,2326,2735,2560,4840,5926,8499,3570,5514,4888,5680,3313
2013-01-01 02:00:00,7882,2409,2874,2395,4897,5695,8229,3569,5443,4881,5577,3383
2013-01-01 02:30:00,7909,2438,2856,2328,4855,5560,8150,3412,5516,4768,5711,3146
2013-01-01 03:00:00,7709,2306,2655,2349,4712,5430,7848,3250,5156,4605,5396,2949
2013-01-01 03:30:00,7561,2335,2517,2132,4573,5187,7667,3148,4970,4456,5286,2797
2013-01-01 04:00:00,7383,2203,2406,2091,4437,5105,7440,3069,4736,4298,4926,2693
2013-01-01 04:30:00,7249,2176,2336,2075,4343,4949,7378,2994,4556,4201,4970,2623
2013-01-01 05:00:00,7158,2135,2277,2053,4261,4874,7320,2982,4435,4034,4875,2627
2013-01-01 05:30:00,7183,2106,2294,2010,4268,4803,7372,3033,4500,3991,4869,2584
2013-01-01 06:00:00,7073,2098,2258,1999,4262,4843,7343,2972,4412,4004,4715,2644
2013-01-01 06:30:00,6961,2096,2338,2073,4291,4870,7325,3041,4440,4034,4759,2686
2013-01-01 07:00:00,6868,2101,2337,2065,4271,4879,7312,3002,4422,4052,4764,2657
2013-01-01 07:30:00,6726,2093,2398,1996,4281,4827,7394,3023,4454,4105,4696,2706
2013-01-01 08:00:00,6756,2152,2390,2011,4241,4891,7402,3026,4458,4083,4688,2672
2013-01-01 08:30:00,6583,2075,2424,2043,4133,4908,7479,3045,4384,4078,4617,2612
2013-01-01 09:00:00,6700,2079,2398,1921,4066,4895,7417,3003,4468,4024,4761,2571
2013-01-01 09:30:00,6845,2141,2419,1935,4132,4930,7514,3001,4548,4072,4850,2563
2013-01-01 10:00:00,6977,2201,2431,1999,4211,4999,7673,3039,4611,4184,5192,2644
2013-01-01 10:30:00,7126,2239,2451,2027,4288,5100,7866,3089,4636,4392,5054,2659
2013-01-01 11:00:00,7374,2280,2463,2058,4416,5196,8035,3151,4743,4405,5168,2716
2013-01-01 11:30:00,7503,2323,2482,2087,4568,5266,8274,3183,4887,4502,5293,2754
2013-01-01 12:00:00,7631,2396,2505,2120,4653,5387,8466,3216,4917,4580,5426,2758
2013-01-01 12:30:00,7791,2514,2580,2132,4810,5463,8692,3304,5094,4672,5667,2876
2013-01-01 13:00:00,7995,2545,2699,2184,4960,5667,8641,3345,5344,4880,5672,3030
2013-01-01 13:30:00,7898,2450,2549,2102,4851,5592,8570,3229,5022,4763,5679,2880
2013-01-01 14:00:00,7795,2392,2467,2024,4754,5389,8458,3124,5145,4583,5408,2661
2013-01-01 14:30:00,7590,2347,2500,1965,4649,5319,8585,3069,4993,4537,5571,2599
2013-01-01 15:00:00,7413,2283,2423,2081,4568,5144,8426,3025,4654,4399,5439,2449
2013-01-01 15:30:00,7371,2238,2325,2030,4513,5127,8346,2982,4581,4402,5420,2466
2013-01-01 16:00:00,7400,2221,2311,1977,4471,5097,8369,3010,4486,4279,5377,2548
2013-01-01 16:30:00,7375,2240,2355,1954,4521,5135,8486,3055,4453,4319,5298,2591
2013-01-01 17:00:00,7368,2304,2404,2026,4601,5293,8656,3132,4467,4373,5394,2673
2013-01-01 17:30:00,7708,2402,2540,2207,4953,5589,9221,3356,4737,4483,5531,2756
2013-01-01 18:00:00,7914,2550,2764,2389,5022,5767,9538,3535,5124,4871,6029,3106
2013-01-01 18:30:00,8080,2559,2890,2425,5145,5914,9757,3654,5323,5061,5792,3238
2013-01-01 19:00:00,8192,2653,2955,2488,5212,6041,9931,3733,5467,5174,5865,3337
2013-01-01 19:30:00,8261,2696,3009,2501,5248,6063,10094,3806,5550,5243,5948,3341
2013-01-01 20:00:00,8159,2672,2964,2453,5215,6058,10154,3788,5616,5185,5950,3385
2013-01-01 20:30:00,8130,2611,2922,2524,5125,6006,10018,3756,5558,5051,5852,3293
2013-01-01 21:00:00,8066,2638,2869,2497,5062,5946,9849,3722,5484,4956,5664,3212
2013-01-01 21:30:00,7885,2702,2750,2448,4974,5789,9521,3823,5265,4867,5501,3217
2013-01-01 22:00:00,7677,2617,2762,2459,4958,5790,9308,3749,5153,4679,5408,3153
2013-01-01 22:30:00,7868,2561,2774,2502,5016,5760,9524,3840,5362,4698,5482,3221
2013-01-01 23:00:00,8063,2549,3093,2356,4963,5783,10094,3973,5683,5335,5764,3783
2013-01-01 23:30:00,8190,2369,2914,2372,4974,5756,9795,3800,5487,5015,6119,3491
2013-01-02 00:00:00,7847,2301,3195,2507,4864,6018,9528,3799,5449,5152,5732,3671
2013-01-02 00:30:00,7674,2214,3059,2389,4772,5951,9323,3685,5456,4889,5552,3548
2013-01-02 01:00:00,7427,2156,2841,2365,4629,5711,8825,3552,5224,4623,5299,3322
2013-01-02 01:30:00,7441,2185,2717,2417,4711,5768,8427,3613,5504,4475,5397,3382
2013-01-02 02:00:00,7467,2280,2918,2400,4756,5651,8103,3561,5325,4516,5302,3447
2013-01-02 02:30:00,7550,2319,2894,2319,4744,5473,8125,3438,5428,4475,5446,3291
2013-01-02 03:00:00,7434,2232,2712,2301,4621,5323,7884,3374,5173,4372,5062,3126
2013-01-02 03:30:00,7371,2270,2638,2223,4544,5192,7782,3341,5043,4227,4997,3033
2013-01-02 04:00:00,7233,2213,2538,2158,4439,5157,7721,3292,4932,4246,4919,3080
2013-01-02 04:30:00,7311,2204,2540,2170,4472,5111,7781,3308,5036,4098,4863,3093
2013-01-02 05:00:00,7341,2207,2618,2202,4497,5213,7878,3328,4923,4214,4881,3154
2013-01-02 05:30:00,7590,2292,2685,2371,4664,5368,8182,3435,5164,4248,4947,3260
2013-01-02 06:00:00,7668,2340,2774,2495,4826,5573,8506,3501,5241,4450,5050,3384
2013-01-02 06:30:00,7869,2455,2946,2605,5082,5800,8946,3672,5604,4643,5228,3616
2013-01-02 07:00:00,8126,2578,3039,2764,5294,6064,9386,3755,5717,4792,5453,3806
2013-01-02 07:30:00,8326,2778,3207,2906,5423,6214,10066,3915,5941,5044,5490,3978
2013-01-02 08:00:00,8663,2856,3281,2968,5613,6424,10537,4034,6175,5160,5650,4130
2013-01-02 08:30:00,8709,2840,3408,3026,5581,6604,10911,4157,6364,5234,5761,4246
2013-01-02 09:00:00,8904,2832,3424,2989,5704,6610,11066,4146,6433,5360,5950,4255
2013-01-02 09:30:00,9084,2885,3455,2997,5793,6717,11155,4159,6532,5449,6031,4337
2013-01-02 10:00:00,9203,2919,3520,3038,5887,6758,11238,4232,6593,5523,6123,4314
2013-01-02 10:30:00,9286,2960,3502,3013,5904,6766,11432,4235,6618,5533,6157,4346
2013-01-02 11:00:00,9345,2975,3512,2996,5934,6809,11408,4266,6645,5462,6127,4334
2013-01-02 11:30:00,9428,3015,3523,2899,6035,6935,11430,4284,6722,5532,6114,4291
2013-01-02 12:00:00,9502,3052,3550,2934,6170,7068,11383,4321,6724,5566,6203,4245
2013-01-02 12:30:00,9372,3104,3561,2925,6198,6954,11482,4382,6634,5617,6222,4338
2013-01-02 13:00:00,9513,3013,3627,2926,6203,7211,11341,4365,6720,5676,6092,4364
2013-01-02 13:30:00,9389,2965,3506,2794,6112,7079,11192,4236,6560,5509,6190,4066
2013-01-02 14:00:00,9311,2951,3414,2761,6114,7055,11131,4204,6543,5478,6030,3979
2013-01-02 14:30:00,9129,2984,3469,2711,5980,6944,11131,4155,6477,5399,6128,3883
2013-01-02 15:00:00,8930,2858,3358,2812,5988,6779,10924,4070,6130,5189,5951,3746
2013-01-02 15:30:00,8862,2872,3296,2630,5831,6692,10861,4018,5988,5208,5871,3724
2013-01-02 16:00:00,8909,2860,3241,2626,5701,6675,10873,4023,5850,5025,5782,3740
2013-01-02 16:30:00,8865,2820,3241,2626,5768,6685,10941,4060,5807,5112,5700,3718
2013-01-02 17:00:00,8977,2856,3272,2677,5932,6855,11084,4085,5809,5144,5788,3733
2013-01-02 17:30:00,9348,3016,3303,2837,6209,7093,11463,4247,5919,5398,6017,3878
