Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2014-01-01 00:00:00,3868.0,87.0,218.0,32.0,905.0,1.0,1.0,15.0,690.0,1425.0,1228.0,2.0
2014-01-01 00:30:00,3928.0,92.0,217.0,25.0,907.0,2.0,1.0,17.0,677.0,1350.0,1295.0,2.0
2014-01-01 01:00:00,3096.0,93.0,216.0,19.0,897.0,2.0,1.0,16.0,656.0,1286.0,1286.0,2.0
2014-01-01 01:30:00,2987.0,92.0,218.0,7.0,899.0,2.0,1.0,16.0,559.0,1123.0,1228.0,2.0
2014-01-01 02:00:00,3046.0,91.0,218.0,7.0,889.0,2.0,1.0,16.0,558.0,830.0,1133.0,2.0
2014-01-01 02:30:00,2910.0,92.0,195.0,7.0,812.0,2.0,1.0,17.0,558.0,784.0,1068.0,2.0
2014-01-01 03:00:00,2768.0,91.0,129.0,7.0,806.0,2.0,1.0,16.0,461.0,786.0,1076.0,2.0
2014-01-01 03:30:00,2675.0,91.0,30.0,7.0,800.0,2.0,1.0,16.0,454.0,816.0,1134.0,2.0
2014-01-01 04:00:00,2572.0,91.0,19.0,7.0,803.0,2.0,1.0,16.0,374.0,845.0,1181.0,2.0
2014-01-01 04:30:00,2579.0,91.0,19.0,7.0,809.0,2.0,1.0,19.0,358.0,747.0,1177.0,3.0
2014-01-01 05:00:00,2644.0,91.0,58.0,7.0,821.0,2.0,1.0,19.0,430.0,749.0,1066.0,2.0
2014-01-01 05:30:00,2672.0,91.0,60.0,7.0,823.0,2.0,1.0,19.0,412.0,755.0,1093.0,3.0
2014-01-01 06:00:00,2575.0,91.0,62.0,7.0,827.0,2.0,1.0,19.0,419.0,774.0,1121.0,3.0
2014-01-01 06:30:00,2097.0,91.0,45.0,7.0,822.0,2.0,1.0,18.0,425.0,795.0,1117.0,3.0
2014-01-01 07:00:00,2099.0,91.0,19.0,7.0,819.0,2.0,1.0,20.0,341.0,792.0,1117.0,3.0
2014-01-01 07:30:00,2145.0,91.0,19.0,7.0,808.0,2.0,1.0,20.0,341.0,791.0,1109.0,3.0
2014-01-01 08:00:00,2135.0,92.0,19.0,7.0,802.0,2.0,1.0,20.0,339.0,797.0,1083.0,3.0
2014-01-01 08:30:00,2222.0,93.0,19.0,7.0,887.0,2.0,1.0,19.0,352.0,809.0,1088.0,3.0
2014-01-01 09:00:00,2224.0,93.0,19.0,7.0,902.0,2.0,1.0,19.0,438.0,816.0,1090.0,3.0
2014-01-01 09:30:00,2386.0,92.0,19.0,7.0,906.0,2.0,1.0,23.0,458.0,827.0,1101.0,3.0
2014-01-01 10:00:00,2385.0,93.0,81.0,9.0,922.0,2.0,1.0,23.0,460.0,828.0,1091.0,3.0
2014-01-01 10:30:00,2738.0,93.0,161.0,15.0,965.0,2.0,1.0,23.0,466.0,932.0,1114.0,3.0
2014-01-01 11:00:00,2670.0,92.0,218.0,15.0,956.0,2.0,1.0,22.0,461.0,995.0,1108.0,3.0
2014-01-01 11:30:00,2687.0,90.0,215.0,31.0,953.0,2.0,1.0,22.0,448.0,956.0,1110.0,3.0
2014-01-01 12:00:00,2750.0,90.0,209.0,32.0,948.0,2.0,1.0,24.0,517.0,961.0,1167.0,3.0
2014-01-01 12:30:00,3153.0,92.0,207.0,31.0,940.0,2.0,1.0,18.0,597.0,1034.0,1220.0,3.0
2014-01-01 13:00:00,3352.0,93.0,205.0,31.0,934.0,2.0,1.0,17.0,607.0,1042.0,1222.0,3.0
2014-01-01 13:30:00,3128.0,92.0,201.0,31.0,922.0,2.0,1.0,17.0,517.0,919.0,1160.0,2.0
2014-01-01 14:00:00,2892.0,92.0,203.0,27.0,923.0,2.0,1.0,17.0,450.0,904.0,1104.0,3.0
2014-01-01 14:30:00,2923.0,93.0,205.0,15.0,889.0,2.0,1.0,16.0,462.0,921.0,1095.0,3.0
2014-01-01 15:00:00,2854.0,93.0,204.0,13.0,867.0,2.0,1.0,17.0,446.0,797.0,1090.0,3.0
2014-01-01 15:30:00,2738.0,92.0,133.0,7.0,860.0,2.0,1.0,16.0,358.0,698.0,1057.0,3.0
2014-01-01 16:00:00,2354.0,93.0,44.0,7.0,857.0,2.0,1.0,16.0,359.0,697.0,1046.0,3.0
2014-01-01 16:30:00,2217.0,92.0,19.0,7.0,861.0,2.0,1.0,19.0,348.0,691.0,1063.0,3.0
2014-01-01 17:00:00,2533.0,93.0,19.0,9.0,871.0,2.0,1.0,19.0,355.0,695.0,1100.0,3.0
2014-01-01 17:30:00,2908.0,93.0,49.0,15.0,883.0,2.0,1.0,19.0,406.0,828.0,1113.0,3.0
2014-01-01 18:00:00,3036.0,92.0,72.0,15.0,888.0,2.0,1.0,19.0,510.0,835.0,1114.0,3.0
2014-01-01 18:30:00,3843.0,93.0,71.0,23.0,930.0,2.0,1.0,23.0,611.0,827.0,1185.0,3.0
2014-01-01 19:00:00,3835.0,93.0,51.0,24.0,1363.0,2.0,1.0,23.0,661.0,1031.0,1250.0,3.0
