Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2015-01-01 00:00:00,107.0,23.0,38.0,41.0,77.0,98.0,159.0,62.0,147.0,72.0,70.0,45.0
2015-01-01 00:30:00,94.0,22.0,35.0,33.0,80.0,109.0,130.0,55.0,150.0,72.0,71.0,45.0
2015-01-01 01:00:00,92.0,22.0,36.0,34.0,80.0,106.0,130.0,52.0,151.0,75.0,71.0,45.0
2015-01-01 01:30:00,92.0,22.0,36.0,35.0,80.0,107.0,132.0,53.0,155.0,76.0,72.0,45.0
2015-01-01 02:00:00,95.0,21.0,36.0,37.0,80.0,106.0,131.0,51.0,157.0,76.0,67.0,45.0
2015-01-01 02:30:00,96.0,22.0,36.0,38.0,80.0,106.0,133.0,51.0,158.0,76.0,70.0,45.0
2015-01-01 03:00:00,96.0,21.0,36.0,38.0,79.0,105.0,133.0,51.0,157.0,78.0,69.0,45.0
2015-01-01 03:30:00,96.0,22.0,35.0,38.0,79.0,107.0,132.0,52.0,160.0,76.0,72.0,45.0
2015-01-01 04:00:00,96.0,21.0,35.0,38.0,80.0,107.0,130.0,51.0,157.0,76.0,71.0,45.0
2015-01-01 04:30:00,93.0,21.0,36.0,36.0,79.0,107.0,129.0,51.0,159.0,76.0,69.0,44.0
2015-01-01 05:00:00,94.0,22.0,36.0,39.0,79.0,105.0,126.0,51.0,159.0,76.0,67.0,44.0
2015-01-01 05:30:00,94.0,21.0,36.0,40.0,78.0,105.0,124.0,52.0,158.0,73.0,65.0,45.0
2015-01-01 06:00:00,94.0,21.0,37.0,38.0,79.0,107.0,124.0,51.0,157.0,74.0,65.0,43.0
2015-01-01 06:30:00,93.0,22.0,36.0,39.0,78.0,107.0,124.0,51.0,158.0,74.0,69.0,43.0
2015-01-01 07:00:00,94.0,21.0,36.0,38.0,79.0,106.0,124.0,50.0,162.0,73.0,69.0,43.0
2015-01-01 07:30:00,94.0,20.0,36.0,38.0,78.0,106.0,124.0,51.0,156.0,74.0,69.0,43.0
2015-01-01 08:00:00,96.0,21.0,36.0,38.0,79.0,106.0,121.0,52.0,156.0,71.0,70.0,43.0
2015-01-01 08:30:00,94.0,20.0,33.0,38.0,79.0,106.0,121.0,50.0,154.0,73.0,69.0,44.0
2015-01-01 09:00:00,93.0,21.0,36.0,38.0,80.0,117.0,122.0,49.0,151.0,72.0,68.0,44.0
2015-01-01 09:30:00,94.0,21.0,35.0,37.0,79.0,112.0,120.0,52.0,153.0,72.0,67.0,44.0
2015-01-01 10:00:00,94.0,21.0,36.0,38.0,78.0,107.0,118.0,51.0,155.0,73.0,68.0,44.0
2015-01-01 10:30:00,93.0,21.0,36.0,37.0,79.0,113.0,119.0,52.0,156.0,74.0,69.0,44.0
2015-01-01 11:00:00,93.0,21.0,34.0,38.0,79.0,116.0,122.0,52.0,153.0,76.0,69.0,44.0
2015-01-01 11:30:00,94.0,22.0,36.0,37.0,81.0,113.0,122.0,52.0,155.0,78.0,69.0,44.0
