Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2015-01-01 00:00:00,-7.0,0.0,-1.0,-,0.0,-,-,-,-,-16.0,0.0,-
2015-01-01 00:30:00,-3.0,0.0,0.0,-,0.0,0,-,-,-,-16.0,0.0,-
2015-01-01 01:00:00,-3.0,0.0,-1.0,-,0.0,0,-,-,-,-16.0,0.0,-
2015-01-01 01:30:00,-3.0,0.0,-1.0,-,0.0,0,-,-,-,-16.0,0.0,-
2015-01-01 02:00:00,-3.0,0.0,-1.0,-,0.0,0,-,-,-,-16.0,0.0,-
2015-01-01 02:30:00,-3.0,0.0,-1.0,-,0.0,0,-,-,-,-16.0,0.0,-
2015-01-01 03:00:00,-3.0,0.0,-20.0,-,0.0,0,-,-,-,-16.0,0.0,-
2015-01-01 03:30:00,-3.0,0.0,-27.0,-,0.0,0,-,-,-,-16.0,0.0,-
2015-01-01 04:00:00,-32.0,0.0,-41.0,-,-366.0,0,-,-,-,-441.0,0.0,-
2015-01-01 04:30:00,-324.0,0.0,-53.0,-,-545.0,0,-,-,-,-440.0,0.0,-
2015-01-01 05:00:00,-815.0,0.0,-54.0,-,-543.0,0,-,-,-,-439.0,0.0,-
2015-01-01 05:30:00,-1298.0,0.0,-55.0,-,-362.0,0,-,-,-,-690.0,0.0,-
2015-01-01 06:00:00,-1383.0,0.0,-1.0,-,-361.0,0,-,-,-,-690.0,0.0,-
2015-01-01 06:30:00,-896.0,0.0,0.0,-,-493.0,0,-,-,-,-689.0,0.0,-
2015-01-01 07:00:00,-896.0,0.0,-1.0,-,-538.0,0,-,-,-,-689.0,-51.0,-
2015-01-01 07:30:00,-896.0,0.0,-1.0,-,-537.0,0,-,-,-,-691.0,-51.0,-
2015-01-01 08:00:00,-896.0,0.0,-1.0,-,-535.0,0,-,-,-,-673.0,-51.0,-
2015-01-01 08:30:00,-1316.0,0.0,-1.0,-,-532.0,0,-,-,-,-892.0,-51.0,-
2015-01-01 09:00:00,-1384.0,0.0,-1.0,-,-530.0,0,-,-,-,-893.0,-51.0,-
2015-01-01 09:30:00,-1382.0,0.0,-1.0,-,-528.0,0,-,-,-,-891.0,-51.0,-
2015-01-01 10:00:00,-1380.0,0.0,-1.0,-,-524.0,0,-,-,-,-888.0,0.0,-
2015-01-01 10:30:00,-1234.0,0.0,-1.0,-,-350.0,0,-,-,-,-880.0,0.0,-
2015-01-01 11:00:00,-947.0,0.0,-1.0,-,-175.0,0,-,-,-,-844.0,0.0,-
2015-01-01 11:30:00,-816.0,0.0,-1.0,-,0.0,0,-,-,-,-843.0,0.0,-
2015-01-01 12:00:00,-816.0,0.0,-1.0,-,0.0,0,-,-,-,-842.0,0.0,-
2015-01-01 12:30:00,-816.0,0.0,-1.0,-,0.0,0,-,-,-,-842.0,0.0,-
2015-01-01 13:00:00,-4.0,0.0,-1.0,-,0.0,0,-,-,-,-842.0,0.0,-
2015-01-01 13:30:00,-18.0,0.0,-1.0,-,0.0,0,-,-,-,-420.0,0.0,-
2015-01-01 14:00:00,-165.0,0.0,-1.0,-,0.0,0,-,-,-,-468.0,0.0,-
2015-01-01 14:30:00,-382.0,0.0,-1.0,-,-352.0,0,-,-,-,-492.0,0.0,-
2015-01-01 15:00:00,-841.0,0.0,-1.0,-,-525.0,0,-,-,-,-704.0,0.0,-
2015-01-01 15:30:00,-1541.0,0.0,-1.0,-,-521.0,0,-,-,-,-703.0,0.0,-
2015-01-01 16:00:00,-1540.0,0.0,-27.0,-,-518.0,0,-,-,-,-702.0,0.0,-
2015-01-01 16:30:00,-1477.0,0.0,-50.0,-,-514.0,0,-,-,-,-685.0,0.0,-
2015-01-01 17:00:00,-1104.0,0.0,-54.0,-,-342.0,0,-,-,-,-23.0,0.0,-
2015-01-01 17:30:00,-85.0,0.0,-54.0,-,0.0,0,-,-,-,-23.0,0.0,-
