Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2016-01-01 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0
2016-01-01 09:00:00,9.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,11.0,34.0,0.0
2016-01-01 09:30:00,31.0,11.0,0.0,5.0,12.0,3.0,1.0,1.0,53.0,44.0,77.0,5.0
2016-01-01 10:00:00,65.0,20.0,2.0,14.0,21.0,7.0,2.0,3.0,136.0,82.0,101.0,15.0
2016-01-01 10:30:00,92.0,33.0,4.0,24.0,32.0,14.0,3.0,4.0,261.0,110.0,152.0,26.0
2016-01-01 11:00:00,109.0,43.0,7.0,30.0,47.0,16.0,4.0,6.0,424.0,148.0,195.0,34.0
2016-01-01 11:30:00,122.0,50.0,12.0,36.0,56.0,17.0,5.0,9.0,519.0,187.0,222.0,44.0
2016-01-01 12:00:00,125.0,57.0,19.0,39.0,65.0,21.0,5.0,10.0,443.0,200.0,246.0,49.0
