Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2017-06-01 00:00:00,73,15.0,31.0,24.0,66.0,105,115,32,158,83,94,40.0
2017-06-01 00:15:00,73,15.0,31.0,24.0,66.0,105,119,32,158,83,94,40.0
2017-06-01 00:30:00,73,15.0,31.0,24.0,66.0,105,116,33,158,82,93,40.0
2017-06-01 00:45:00,73,15.0,31.0,24.0,66.0,106,115,32,158,82,93,40.0
2017-06-01 01:00:00,73,15.0,31.0,24.0,66.0,108,116,32,158,83,94,40.0
2017-06-01 01:15:00,73,15.0,31.0,24.0,66.0,107,117,32,158,83,93,40.0
2017-06-01 01:30:00,73,15.0,31.0,24.0,66.0,107,114,32,158,83,95,40.0
2017-06-01 01:45:00,73,15.0,31.0,24.0,66.0,107,115,32,158,82,93,40.0
2017-06-01 02:00:00,73,15.0,31.0,24.0,66.0,106,114,32,158,83,93,40.0
2017-06-01 02:15:00,73,15.0,31.0,24.0,66.0,106,116,33,158,83,94,40.0
2017-06-01 02:30:00,73,15.0,31.0,24.0,66.0,104,116,32,158,82,93,40.0
2017-06-01 02:45:00,73,15.0,31.0,24.0,66.0,107,117,32,158,83,94,40.0
2017-06-01 03:00:00,73,15.0,31.0,24.0,66.0,102,117,32,158,83,93,40.0
2017-06-01 03:15:00,73,15.0,31.0,24.0,66.0,104,119,32,158,83,94,40.0
2017-06-01 03:30:00,73,15.0,31.0,24.0,66.0,106,118,32,158,82,94,40.0
2017-06-01 03:45:00,73,15.0,31.0,24.0,66.0,107,117,32,158,83,93,40.0
2017-06-01 04:00:00,73,15.0,31.0,24.0,66.0,105,118,32,158,83,93,40.0
2017-06-01 04:15:00,73,15.0,31.0,24.0,66.0,106,116,32,158,84,94,40.0
2017-06-01 04:30:00,73,15.0,31.0,24.0,66.0,107,116,32,160,83,93,40.0
2017-06-01 04:45:00,73,15.0,31.0,24.0,66.0,106,115,32,160,83,95,40.0
2017-06-01 05:00:00,73,15.0,31.0,24.0,66.0,105,118,32,160,82,94,40.0
2017-06-01 05:15:00,73,15.0,31.0,24.0,66.0,106,120,32,160,83,93,40.0
2017-06-01 05:30:00,73,15.0,31.0,24.0,66.0,106,115,32,158,82,93,40.0
2017-06-01 05:45:00,73,15.0,31.0,24.0,66.0,106,116,32,158,82,92,40.0
2017-06-01 06:00:00,73,15.0,31.0,24.0,66.0,108,117,32,158,82,91,40.0
2017-06-01 06:15:00,73,15.0,31.0,24.0,66.0,106,120,32,159,82,89,40.0
2017-06-01 06:30:00,73,15.0,31.0,24.0,66.0,107,116,32,159,81,89,40.0
2017-06-01 06:45:00,73,15.0,31.0,24.0,66.0,104,118,32,159,82,93,40.0
2017-06-01 07:00:00,73,15.0,31.0,24.0,66.0,104,117,32,159,83,92,40.0
2017-06-01 07:15:00,73,15.0,31.0,24.0,66.0,107,115,32,159,83,93,40.0
2017-06-01 07:30:00,73,15.0,31.0,24.0,66.0,107,115,32,160,82,91,40.0
2017-06-01 07:45:00,73,15.0,31.0,24.0,66.0,106,115,32,160,82,92,40.0
2017-06-01 08:00:00,73,15.0,31.0,24.0,66.0,106,116,32,160,83,93,40.0
2017-06-01 08:15:00,73,15.0,31.0,24.0,66.0,106,116,33,160,82,93,40.0
2017-06-01 08:30:00,73,15.0,31.0,24.0,66.0,103,117,32,161,84,92,40.0
2017-06-01 08:45:00,73,15.0,31.0,24.0,66.0,99,114,32,161,83,93,40.0
2017-06-01 09:00:00,73,15.0,31.0,24.0,66.0,94,118,32,162,83,93,40.0
2017-06-01 09:15:00,73,15.0,31.0,24.0,66.0,96,117,32,163,83,93,40.0
2017-06-01 09:30:00,73,15.0,31.0,24.0,66.0,99,114,32,163,83,93,40.0
2017-06-01 09:45:00,73,15.0,31.0,24.0,66.0,100,114,32,165,81,93,40.0
2017-06-01 10:00:00,73,15.0,31.0,24.0,66.0,100,120,32,165,83,91,40.0
2017-06-01 10:15:00,73,15.0,31.0,24.0,66.0,99,113,33,165,83,93,40.0
2017-06-01 10:30:00,73,15.0,31.0,24.0,66.0,100,116,32,167,83,92,40.0
2017-06-01 10:45:00,73,15.0,31.0,24.0,66.0,102,118,32,167,82,88,40.0
2017-06-01 11:00:00,73,15.0,31.0,24.0,66.0,100,118,32,168,83,92,40.0
2017-06-01 11:15:00,73,15.0,31.0,24.0,66.0,101,119,32,168,81,91,40.0
2017-06-01 11:30:00,73,15.0,31.0,24.0,66.0,102,117,32,169,83,92,40.0
2017-06-01 11:45:00,73,15.0,31.0,24.0,66.0,102,115,32,169,84,93,40.0
2017-06-01 12:00:00,73,15.0,31.0,24.0,66.0,102,116,32,170,83,92,40.0
2017-06-01 12:15:00,73,15.0,31.0,24.0,66.0,104,116,32,170,83,92,40.0
2017-06-01 12:30:00,73,15.0,31.0,24.0,66.0,109,115,32,170,82,93,40.0
2017-06-01 12:45:00,73,15.0,31.0,24.0,66.0,104,116,32,172,82,92,40.0
2017-06-01 13:00:00,73,15.0,31.0,24.0,66.0,104,115,32,172,83,93,40.0
2017-06-01 13:15:00,73,15.0,31.0,24.0,66.0,100,116,32,172,81,92,40.0
2017-06-01 13:30:00,73,15.0,31.0,24.0,66.0,109,115,32,172,84,92,40.0
2017-06-01 13:45:00,73,15.0,31.0,24.0,66.0,109,116,32,163,83,93,40.0
2017-06-01 14:00:00,73,15.0,31.0,24.0,66.0,109,116,32,161,82,92,40.0
2017-06-01 14:15:00,73,15.0,31.0,24.0,66.0,109,116,32,170,82,92,40.0
2017-06-01 14:30:00,73,15.0,31.0,24.0,66.0,108,116,32,170,82,92,40.0
2017-06-01 14:45:00,73,15.0,31.0,24.0,66.0,109,115,32,168,80,92,40.0
2017-06-01 15:00:00,73,15.0,31.0,24.0,66.0,109,116,32,172,83,93,40.0
2017-06-01 15:15:00,73,15.0,31.0,24.0,66.0,110,117,32,167,83,89,40.0
2017-06-01 15:30:00,73,15.0,31.0,24.0,66.0,110,117,32,166,82,91,40.0
2017-06-01 15:45:00,73,15.0,31.0,24.0,66.0,110,118,32,168,81,92,40.0
2017-06-01 16:00:00,73,15.0,31.0,24.0,66.0,110,116,33,170,80,92,40.0
2017-06-01 16:15:00,73,15.0,31.0,24.0,66.0,111,117,32,169,81,92,40.0
2017-06-01 16:30:00,73,15.0,31.0,24.0,66.0,111,117,32,168,81,92,40.0
2017-06-01 16:45:00,73,15.0,31.0,24.0,66.0,111,117,32,169,78,92,40.0
2017-06-01 17:00:00,73,15.0,31.0,24.0,66.0,111,116,32,168,80,93,40.0
2017-06-01 17:15:00,73,15.0,31.0,24.0,66.0,102,115,32,168,82,92,40.0
2017-06-01 17:30:00,73,15.0,31.0,24.0,66.0,111,114,32,167,80,93,40.0
2017-06-01 17:45:00,73,15.0,31.0,24.0,66.0,106,113,32,167,82,92,40.0
2017-06-01 18:00:00,73,15.0,31.0,24.0,66.0,100,115,31,166,79,91,40.0
2017-06-01 18:15:00,73,15.0,31.0,24.0,66.0,108,117,32,165,82,91,40.0
2017-06-01 18:30:00,73,15.0,31.0,24.0,66.0,101,114,32,165,79,91,40.0
2017-06-01 18:45:00,73,15.0,31.0,24.0,66.0,102,115,32,163,80,92,40.0
2017-06-01 19:00:00,73,15.0,31.0,24.0,66.0,102,116,32,163,79,92,40.0
2017-06-01 19:15:00,73,15.0,31.0,24.0,66.0,102,116,32,162,79,91,40.0
2017-06-01 19:30:00,73,15.0,31.0,24.0,66.0,103,115,32,161,82,91,40.0
2017-06-01 19:45:00,73,15.0,31.0,24.0,66.0,103,116,32,160,81,93,40.0
2017-06-01 20:00:00,73,15.0,31.0,24.0,66.0,103,115,32,160,83,92,40.0
2017-06-01 20:15:00,73,15.0,31.0,24.0,66.0,103,116,32,160,81,93,40.0
2017-06-01 20:30:00,73,15.0,31.0,24.0,66.0,103,117,32,159,83,93,40.0
2017-06-01 20:45:00,73,15.0,31.0,24.0,66.0,104,117,32,159,83,93,40.0
2017-06-01 21:00:00,73,15.0,31.0,24.0,66.0,103,117,32,159,83,93,40.0
2017-06-01 21:15:00,73,15.0,31.0,24.0,66.0,105,117,32,159,84,93,40.0
2017-06-01 21:30:00,73,15.0,31.0,24.0,66.0,106,115,32,159,83,93,40.0
2017-06-01 21:45:00,73,15.0,31.0,24.0,66.0,106,115,33,159,82,93,40.0
2017-06-01 22:00:00,73,15.0,31.0,24.0,66.0,105,115,32,160,83,93,40.0
2017-06-01 22:15:00,73,15.0,31.0,24.0,66.0,106,116,32,160,83,94,40.0
2017-06-01 22:30:00,73,15.0,31.0,24.0,66.0,106,116,33,160,84,94,40.0
2017-06-01 22:45:00,73,15.0,31.0,24.0,66.0,107,115,33,160,82,93,40.0
2017-06-01 23:00:00,73,15.0,31.0,24.0,66.0,106,117,32,160,82,93,40.0
2017-06-01 23:15:00,73,15.0,31.0,24.0,66.0,105,117,32,160,82,95,40.0
2017-06-01 23:30:00,73,15.0,31.0,24.0,66.0,106,115,32,160,83,94,40.0
2017-06-01 23:45:00,73,15.0,31.0,24.0,66.0,109,115,32,160,83,93,40.0
2017-06-02 00:00:00,73,15.0,31.0,24.0,66.0,106,116,32,160,83,95,40.0
2017-06-02 00:15:00,73,15.0,31.0,24.0,66.0,107,115,33,160,83,93,40.0
2017-06-02 00:30:00,73,15.0,31.0,24.0,66.0,106,116,33,160,83,94,40.0
2017-06-02 00:45:00,73,15.0,31.0,24.0,66.0,107,123,32,160,83,93,40.0
2017-06-02 01:00:00,73,15.0,31.0,24.0,66.0,107,115,32,160,83,93,40.0
2017-06-02 01:15:00,73,15.0,31.0,24.0,66.0,108,116,32,158,82,93,40.0
2017-06-02 01:30:00,73,15.0,31.0,24.0,66.0,108,115,32,158,84,93,40.0
2017-06-02 01:45:00,73,15.0,31.0,24.0,66.0,109,114,33,158,84,93,40.0
2017-06-02 02:00:00,73,15.0,31.0,24.0,66.0,109,116,32,158,83,92,40.0
2017-06-02 02:15:00,73,15.0,31.0,24.0,66.0,109,120,32,158,83,90,40.0
2017-06-02 02:30:00,73,15.0,31.0,24.0,66.0,107,118,32,158,82,91,40.0
2017-06-02 02:45:00,73,15.0,31.0,24.0,66.0,108,116,33,158,83,93,40.0
2017-06-02 03:00:00,73,15.0,31.0,24.0,66.0,107,117,33,158,83,92,40.0
2017-06-02 03:15:00,73,15.0,31.0,24.0,66.0,105,117,33,158,81,86,40.0
2017-06-02 03:30:00,73,15.0,31.0,24.0,66.0,105,115,33,158,83,85,40.0
2017-06-02 03:45:00,73,15.0,31.0,24.0,66.0,104,116,32,158,82,90,40.0
2017-06-02 04:00:00,73,15.0,31.0,24.0,66.0,107,117,32,158,83,93,40.0
2017-06-02 04:15:00,73,15.0,31.0,24.0,66.0,106,115,33,158,82,89,40.0
2017-06-02 04:30:00,73,15.0,31.0,24.0,66.0,105,115,32,158,81,90,40.0
2017-06-02 04:45:00,73,15.0,31.0,24.0,66.0,106,117,33,158,81,89,40.0
2017-06-02 05:00:00,73,15.0,31.0,24.0,66.0,107,118,33,158,83,87,40.0
2017-06-02 05:15:00,73,15.0,31.0,24.0,66.0,105,117,32,158,82,86,40.0
2017-06-02 05:30:00,73,15.0,31.0,24.0,66.0,105,114,32,158,82,86,40.0
2017-06-02 05:45:00,73,15.0,31.0,24.0,66.0,107,116,33,158,81,85,40.0
2017-06-02 06:00:00,73,15.0,31.0,24.0,66.0,105,119,32,158,83,92,40.0
2017-06-02 06:15:00,73,15.0,31.0,24.0,66.0,105,115,32,159,82,93,40.0
2017-06-02 06:30:00,73,15.0,31.0,24.0,66.0,105,113,32,159,82,93,40.0
2017-06-02 06:45:00,73,15.0,31.0,24.0,66.0,106,117,32,159,80,92,40.0
2017-06-02 07:00:00,73,15.0,31.0,24.0,66.0,106,118,32,159,81,92,40.0
2017-06-02 07:15:00,73,15.0,31.0,24.0,66.0,106,122,32,159,80,92,40.0
2017-06-02 07:30:00,73,15.0,31.0,24.0,66.0,105,120,32,160,83,92,40.0
2017-06-02 07:45:00,73,15.0,31.0,24.0,66.0,107,123,32,160,83,92,40.0
2017-06-02 08:00:00,73,15.0,31.0,24.0,66.0,106,118,32,160,81,93,40.0
2017-06-02 08:15:00,73,15.0,31.0,24.0,66.0,105,116,32,160,81,92,40.0
2017-06-02 08:30:00,73,15.0,31.0,24.0,66.0,105,119,32,161,81,92,40.0
2017-06-02 08:45:00,73,15.0,31.0,24.0,66.0,107,118,32,161,80,86,40.0
2017-06-02 09:00:00,73,15.0,31.0,24.0,66.0,107,119,32,163,81,91,40.0
2017-06-02 09:15:00,73,15.0,31.0,24.0,66.0,108,123,32,161,81,93,40.0
2017-06-02 09:30:00,73,15.0,31.0,24.0,66.0,114,124,32,164,79,92,40.0
2017-06-02 09:45:00,73,15.0,31.0,24.0,66.0,108,119,32,161,80,92,40.0
2017-06-02 10:00:00,73,15.0,31.0,24.0,66.0,100,114,32,166,82,88,40.0
2017-06-02 10:15:00,73,15.0,31.0,24.0,66.0,101,115,32,168,81,89,40.0
2017-06-02 10:30:00,73,15.0,31.0,24.0,66.0,99,119,32,161,80,92,40.0
2017-06-02 10:45:00,73,15.0,31.0,24.0,66.0,100,120,32,160,80,92,40.0
2017-06-02 11:00:00,73,15.0,31.0,24.0,66.0,101,123,32,162,81,92,40.0
2017-06-02 11:15:00,73,15.0,31.0,24.0,66.0,110,111,32,161,79,91,40.0
2017-06-02 11:30:00,76,15.0,31.0,24.0,66.0,103,113,32,169,81,92,40.0
2017-06-02 11:45:00,76,15.0,31.0,24.0,66.0,110,111,32,163,81,92,40.0
2017-06-02 12:00:00,76,15.0,31.0,24.0,66.0,111,113,32,166,81,90,40.0
2017-06-02 12:15:00,76,15.0,31.0,24.0,66.0,111,126,32,166,81,91,40.0
2017-06-02 12:30:00,76,15.0,31.0,24.0,66.0,111,133,31,168,81,86,40.0
2017-06-02 12:45:00,73,15.0,31.0,24.0,66.0,111,122,31,170,82,90,40.0
2017-06-02 13:00:00,73,15.0,31.0,24.0,66.0,111,118,31,172,82,90,40.0
2017-06-02 13:15:00,73,15.0,31.0,24.0,66.0,112,117,31,169,81,93,40.0
2017-06-02 13:30:00,73,15.0,31.0,24.0,66.0,112,115,32,172,81,92,40.0
2017-06-02 13:45:00,73,15.0,31.0,24.0,66.0,112,121,32,172,80,92,40.0
2017-06-02 14:00:00,73,15.0,31.0,24.0,66.0,112,123,32,172,81,92,40.0
2017-06-02 14:15:00,77,15.0,31.0,24.0,66.0,113,121,32,171,81,93,40.0
2017-06-02 14:30:00,81,15.0,31.0,24.0,66.0,113,119,32,171,81,91,40.0
2017-06-02 14:45:00,82,15.0,31.0,24.0,66.0,113,120,32,169,81,93,40.0
2017-06-02 15:00:00,82,15.0,31.0,24.0,66.0,113,120,32,171,82,88,40.0
2017-06-02 15:15:00,83,15.0,31.0,24.0,66.0,114,122,32,170,82,91,40.0
2017-06-02 15:30:00,83,15.0,31.0,24.0,66.0,114,122,32,170,81,91,40.0
2017-06-02 15:45:00,81,15.0,31.0,24.0,66.0,114,121,32,170,83,91,40.0
2017-06-02 16:00:00,83,15.0,31.0,24.0,66.0,114,122,32,170,82,93,40.0
2017-06-02 16:15:00,84,15.0,31.0,24.0,66.0,114,120,32,170,83,92,40.0
2017-06-02 16:30:00,84,15.0,31.0,24.0,66.0,114,118,31,169,83,92,40.0
2017-06-02 16:45:00,84,15.0,31.0,24.0,66.0,114,127,32,169,81,92,40.0
2017-06-02 17:00:00,84,15.0,31.0,24.0,66.0,108,129,32,169,83,91,40.0
2017-06-02 17:15:00,84,15.0,31.0,24.0,66.0,99,125,32,166,82,94,40.0
2017-06-02 17:30:00,84,15.0,31.0,24.0,66.0,108,125,32,166,83,93,40.0
2017-06-02 17:45:00,84,15.0,31.0,24.0,66.0,100,126,33,164,81,93,40.0
2017-06-02 18:00:00,84,15.0,31.0,24.0,66.0,101,129,33,163,80,92,40.0
2017-06-02 18:15:00,84,15.0,31.0,24.0,66.0,101,124,33,165,82,91,40.0
