Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2017-06-01 00:00:00,3368,50,3,26,1067,1.0,8.0,12,398,1202,1586,1.0
2017-06-01 00:15:00,3393,66,2,28,1102,1.0,8.0,11,387,1216,1620,1.0
2017-06-01 00:30:00,3063,60,2,1,984,1.0,8.0,12,388,1159,1612,1.0
2017-06-01 00:45:00,2469,53,1,1,861,1.0,8.0,11,367,891,1456,1.0
2017-06-01 01:00:00,2470,26,1,1,870,1.0,8.0,12,369,900,1437,1.0
2017-06-01 01:15:00,2349,19,1,1,869,1.0,8.0,12,318,880,1401,1.0
2017-06-01 01:30:00,2255,19,1,1,100,1.0,8.0,11,315,883,1362,1.0
2017-06-01 01:45:00,2222,20,1,1,872,1.0,8.0,11,247,896,1348,1.0
2017-06-01 02:00:00,2331,19,1,1,873,1.0,8.0,12,256,895,1340,1.0
2017-06-01 02:15:00,2150,19,1,1,887,1.0,8.0,11,261,892,1353,1.0
2017-06-01 02:30:00,2079,19,1,1,897,1.0,8.0,12,261,865,1326,1.0
2017-06-01 02:45:00,2035,19,1,1,931,1.0,8.0,13,339,841,1250,1.0
2017-06-01 03:00:00,2003,19,2,1,952,1.0,8.0,12,346,836,1173,1.0
2017-06-01 03:15:00,2019,19,3,1,966,1.0,8.0,13,379,842,1046,1.0
2017-06-01 03:30:00,1875,20,3,1,980,1.0,8.0,12,371,825,1078,1.0
2017-06-01 03:45:00,1825,19,4,1,985,1.0,8.0,11,298,833,926,1.0
2017-06-01 04:00:00,1815,20,2,1,969,1.0,8.0,12,298,827,931,1.0
2017-06-01 04:15:00,1938,21,3,1,970,1.0,8.0,12,245,854,980,1.0
2017-06-01 04:30:00,1909,21,2,1,966,1.0,8.0,11,239,863,975,1.0
2017-06-01 04:45:00,2004,21,104,1,978,1.0,8.0,12,244,868,972,1.0
2017-06-01 05:00:00,2184,20,138,1,991,1.0,8.0,14,237,863,965,1.0
2017-06-01 05:15:00,2152,21,143,1,1015,1.0,8.0,12,241,914,1014,1.0
2017-06-01 05:30:00,2157,21,171,1,102,1.0,8.0,12,235,916,1064,1.0
2017-06-01 05:45:00,2153,21,186,3,1014,1.0,8.0,12,242,924,1117,1.0
2017-06-01 06:00:00,2395,21,193,3,991,1.0,8.0,13,290,905,1152,1.0
2017-06-01 06:15:00,2459,21,192,10,1020,1.0,8.0,14,321,929,1291,1.0
2017-06-01 06:30:00,2583,21,190,10,1025,1.0,8.0,14,329,926,1328,1.0
2017-06-01 06:45:00,2812,22,190,18,1121,1.0,8.0,15,327,925,1458,1.0
2017-06-01 07:00:00,2869,22,190,18,1138,1.0,8.0,14,402,920,1530,1.0
2017-06-01 07:15:00,2910,25,196,18,1146,1.0,8.0,15,419,958,1686,1.0
2017-06-01 07:30:00,3021,32,192,19,1134,1.0,8.0,14,420,960,1712,1.0
2017-06-01 07:45:00,3432,31,178,44,1245,1.0,8.0,14,420,1041,1738,1.0
2017-06-01 08:00:00,3341,34,165,42,1231,1.0,8.0,14,462,1045,1774,1.0
