Time,Auvergne-Rhone-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Grand-Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,PACA,Pays-de-la-Loire
2017-06-01 00:00:00,-5986,1779,2374,-4864,-5727,652,6614,-2163,-689,223,2207,2215
2017-06-01 00:15:00,-6277,1767,2288,-4865,-6126,535,6632,-2372,-583,91,2017,2113
2017-06-01 00:30:00,-5481,1724,2134,-4782,-5940,414,6304,-2391,-742,27,1802,1998
2017-06-01 00:45:00,-4913,1701,2037,-4789,-5686,467,5947,-2443,-866,189,1834,1883
2017-06-01 01:00:00,-5083,1690,1943,-4842,-5372,286,5755,-2526,-944,104,1760,1819
2017-06-01 01:15:00,-4991,1719,1839,-4919,-5294,259,5639,-2567,-746,-17,1840,1753
2017-06-01 01:30:00,-4852,1741,1858,-4888,-5181,196,5433,-2570,-843,-20,1819,1740
2017-06-01 01:45:00,-4888,1772,1973,-4968,-5035,80,5318,-2576,-933,-43,1775,1827
2017-06-01 02:00:00,-4769,1795,1882,-4978,-5048,47,5189,-2652,-938,-81,1846,1743
2017-06-01 02:15:00,-4577,1821,1798,-5229,-5126,-74,5205,-2827,-908,-121,2025,1575
2017-06-01 02:30:00,-4601,1737,1717,-5150,-5168,-37,5090,-2820,-957,-82,1862,1546
2017-06-01 02:45:00,-4594,1706,1670,-5233,-5106,-139,5025,-2587,-1139,-99,1792,1514
2017-06-01 03:00:00,-4571,1685,1566,-5222,-5203,-58,5045,-2564,-1231,-141,1806,1473
2017-06-01 03:15:00,-4625,1766,1523,-5361,-5421,-319,4935,-2737,-1419,-208,1887,1418
2017-06-01 03:30:00,-4123,1691,1507,-5374,-5453,-329,4875,-2726,-1440,-233,1788,1408
2017-06-01 03:45:00,-4165,1687,1519,-5448,-5494,-318,4845,-2787,-1414,-309,1897,1360
2017-06-01 04:00:00,-4359,1637,1515,-5438,-5500,-356,4764,-2722,-1443,-332,1926,1390
2017-06-01 04:15:00,-4598,1621,1518,-5457,-5533,-252,4834,-2759,-1383,-374,1860,1389
2017-06-01 04:30:00,-4568,1630,1527,-5455,-5666,-181,4840,-2719,-1403,-379,1802,1394
2017-06-01 04:45:00,-4686,1586,1446,-5482,-5476,-158,4765,-2716,-1345,-401,1870,1480
2017-06-01 05:00:00,-5207,1636,1406,-5470,-5518,-207,4871,-2685,-1307,-345,1873,1616
2017-06-01 05:15:00,-5057,1709,1460,-5410,-5457,-143,4884,-2606,-1334,-403,1811,1717
2017-06-01 05:30:00,-5010,1714,1474,-5439,-5544,-27,4975,-2612,-1257,-367,1831,1744
2017-06-01 05:45:00,-5032,1699,1481,-5424,-5657,-40,5008,-2641,-1212,-323,1740,1773
2017-06-01 06:00:00,-5212,1730,1517,-5370,-5494,163,5061,-2543,-1203,-265,1714,1796
2017-06-01 06:15:00,-5131,1793,1569,-5293,-5563,374,5344,-2495,-1175,-202,1673,1923
2017-06-01 06:30:00,-5150,1856,1628,-5327,-5474,312,5563,-2543,-1045,-204,1769,1948
2017-06-01 06:45:00,-5262,1947,1705,-5350,-5907,411,5704,-2621,-937,-213,1711,1945
2017-06-01 07:00:00,-5204,2024,1765,-5262,-5758,488,6088,-2649,-925,-141,1707,2056
2017-06-01 07:15:00,-6153,2096,1879,-5168,-5847,810,6330,-2533,-941,-66,1543,2179
